Model: , Areal mixture of reflectance
Timestamp: ,2022-09-20 11:23:13
,Compound,Molecular Formula,Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Methane,CH4,100,77K,0.35-2.5 micron,"Kokaly, R.F.",https://crustal.usgs.gov/speclab/data/HTMLmetadata/Methane_XCEL_liquid_T~77K_ASDFRa_AREF.html

wave,Methane
0.4,0.9749459560357792
0.401,0.9759601516845664
0.402,0.9771286083154336
0.40299999999999997,0.97616208
0.40399999999999997,0.9757499741210588
0.405,0.9766466
0.406,0.9762252018315634
0.407,0.9764083581684366
0.408,0.9770482216658668
0.409,0.9772148083341332
0.41,0.97718287
0.411,0.9770149616790832
0.412,0.97669131
0.413,0.976571440405296
0.414,0.97661197
0.415,0.9768140914954699
0.416,0.97696363850453
0.417,0.97709888
0.418,0.9772611283775162
0.419,0.97775412
0.42,0.977711797808322
0.421,0.97749263
0.422,0.9775031204738904
0.423,0.9775505095261096
0.424,0.9776016503372932
0.425,0.9776353796627067
0.4260000000000001,0.97833651
0.4270000000000001,0.9787558307182928
0.4280000000000001,0.97882766
0.4290000000000001,0.9783087994635108
0.4300000000000001,0.9782551505364891
0.4310000000000001,0.9783971895959082
0.4320000000000001,0.978356780404092
0.4330000000000001,0.97875118
0.4340000000000001,0.979123351191488
0.4350000000000001,0.9792425
0.4360000000000001,0.9790012200274996
0.4370000000000001,0.9790039699725004
0.4380000000000001,0.9792655686279276
0.4390000000000001,0.9791283613720726
0.4400000000000001,0.97918183
0.4410000000000001,0.9793322084962149
0.4420000000000001,0.97941935
0.4430000000000001,0.9792494794594108
0.4440000000000001,0.9791954205405892
0.4450000000000001,0.9795147216772664
0.4460000000000001,0.9796824483227335
0.4470000000000001,0.97979534
0.4480000000000001,0.9798574393790062
0.4490000000000001,0.97969568
0.4500000000000001,0.9797263715371692
0.4510000000000001,0.9798800884628308
0.4520000000000001,0.980029111751065
0.4530000000000001,0.980204218248935
0.4540000000000001,0.98036546
0.4550000000000001,0.980475188902711
0.4560000000000001,0.98046267
0.4570000000000001,0.9805305618548816
0.4580000000000001,0.98071605
0.4590000000000001,0.9809340805721886
0.4600000000000001,0.9809912994278116
0.4610000000000001,0.98098016
0.4620000000000001,0.9812312674889252
0.4630000000000001,0.98146075
0.4640000000000001,0.9816517811390886
0.4650000000000001,0.98176569
0.4660000000000001,0.9819524905351892
0.4670000000000001,0.9820060094648106
0.4680000000000001,0.9818723238772226
0.4690000000000001,0.9822600461227776
0.4700000000000001,0.98230332
0.4710000000000001,0.9821497220265798
0.4720000000000001,0.98235238
0.4730000000000001,0.982688673354433
0.4740000000000001,0.9830241166455672
0.4750000000000001,0.9832075828294434
0.4760000000000001,0.9834905271705566
0.4770000000000001,0.98370898
0.4780000000000001,0.9838104227561724
0.4790000000000001,0.98408604
0.4800000000000001,0.9842215803140938
0.4810000000000001,0.9842529896859062
0.4820000000000001,0.9843521721224576
0.4830000000000001,0.9845644178775425
0.4840000000000001,0.98478723
0.4850000000000001,0.9849059588127118
0.4860000000000001,0.98506832
0.4870000000000001,0.9852137010447791
0.4880000000000001,0.9853181789552209
0.4890000000000001,0.9853419108772824
0.4900000000000001,0.9854296391227176
0.4910000000000001,0.98557639
0.4920000000000001,0.9857165785981139
0.4930000000000001,0.98572731
0.4940000000000001,0.9857707032871672
0.4950000000000001,0.98609942
0.4960000000000001,0.9860965007229856
0.4970000000000001,0.9861687992770144
0.4980000000000001,0.98647916
0.4990000000000001,0.986438690404696
0.5000000000000001,0.98651856
0.5010000000000001,0.9867136497925958
0.5020000000000001,0.9866929110280488
0.5030000000000001,0.9867271793146344
0.5040000000000001,0.986787679394994
0.5050000000000001,0.98683733
0.5060000000000001,0.9870116741791912
0.5070000000000001,0.9872206337312134
0.5080000000000001,0.9874323557655575
0.5090000000000001,0.98750424
0.5100000000000001,0.9875314800847008
0.5110000000000001,0.9875399537572498
0.5120000000000001,0.9877278162427504
0.5130000000000001,0.9879260080180804
0.5140000000000001,0.98808706
0.5150000000000001,0.98807251149793
0.5160000000000001,0.98822230640318
0.5170000000000001,0.9884357457312134
0.5180000000000001,0.988676787589576
0.5190000000000001,0.9886200401097012
0.5200000000000001,0.9886310122076896
0.5210000000000001,0.9887413966884656
0.5220000000000001,0.9888390290236804
0.5230000000000001,0.9890095
0.5240000000000001,0.9891870601770018
0.5250000000000001,0.9892047602373906
0.5260000000000001,0.9892166297626096
0.5270000000000001,0.9892529196370964
0.5280000000000001,0.98934078
0.5290000000000001,0.9894139816712167
0.5300000000000001,0.9894975427571622
0.5310000000000001,0.989589448161892
0.5320000000000001,0.9895439104554044
0.5330000000000001,0.989586650692607
0.5340000000000001,0.9896559084670766
0.5350000000000001,0.9895792622993851
0.5360000000000001,0.9895747300453008
0.5370000000000001,0.98960745
0.5380000000000001,0.989665089649493
0.5390000000000001,0.9896300402699864
0.5400000000000001,0.989639039820009
0.5410000000000001,0.9897165292250923
0.5420000000000001,0.98971772
0.5430000000000001,0.9897282105661716
0.5440000000000002,0.9897565191507424
0.5450000000000002,0.9898432482653826
0.5460000000000002,0.98986822
0.5470000000000002,0.9898929607629076
0.5480000000000002,0.989969252704892
0.5490000000000002,0.9901044972951084
0.5500000000000002,0.9901509895350952
0.5510000000000002,0.99006659
0.5520000000000002,0.9901697014115284
0.5530000000000002,0.9903108545504724
0.5540000000000002,0.9904625369663516
0.5550000000000002,0.990504799577396
0.5560000000000002,0.9906046411855121
0.5570000000000002,0.9907231920538973
0.5580000000000002,0.990825886919154
0.5590000000000002,0.9909067183833838
0.5600000000000002,0.99099493
0.5610000000000002,0.9910988190921909
0.5620000000000002,0.9910080402325908
0.5630000000000002,0.9910196697674092
0.5640000000000002,0.9910954192424924
0.5650000000000002,0.99099803
0.5660000000000002,0.990908618606386
0.5670000000000002,0.9908389392062396
0.5680000000000002,0.9908124805291736
