Model: , Areal mixture of reflectance
Timestamp: ,2022-09-20 11:27:08
,Compound,Molecular Formula,Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Pentane,C5H12,100,85K,0.35-2.5 micron,"Kokaly, R.F.",https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pentane_SA-76878_fine_gr_85K_ASDFRa_AREF.html

wave,Pentane
0.4,0.7697958408689827
0.401,0.7699533725951481
0.402,0.7702128874048519
0.40299999999999997,0.76999974
0.40399999999999997,0.769748932508075
0.405,0.7698825
0.406,0.7699171899195016
0.407,0.7699091400804984
0.408,0.7698736805572889
0.409,0.7699294094427112
0.41,0.76994652
0.411,0.769925590209298
0.412,0.76984793
0.413,0.7698243902973969
0.414,0.76985413
0.415,0.7699409113297734
0.416,0.7700738886702266
0.417,0.77009648
0.418,0.7700687102776972
0.419,0.77023023
0.42,0.7703759704612954
0.421,0.7704221
0.422,0.7702800019234615
0.423,0.7704723480765385
0.424,0.7706157004922901
0.425,0.7706649295077099
0.4260000000000001,0.7705821999999999
0.4270000000000001,0.7706972417361826
0.4280000000000001,0.77087086
0.4290000000000001,0.7709387512946742
0.4300000000000001,0.7710682187053258
0.4310000000000001,0.7711371197550049
0.4320000000000001,0.7711126202449952
0.4330000000000001,0.77110577
0.4340000000000001,0.7711501107670923
0.4350000000000001,0.77122682
0.4360000000000001,0.7713001401453972
0.4370000000000001,0.7713146798546029
0.4380000000000001,0.7713709516086679
0.4390000000000001,0.7715318183913321
0.4400000000000001,0.77156508
0.4410000000000001,0.771644889201908
0.4420000000000001,0.77176273
0.4430000000000001,0.771797180349893
0.4440000000000001,0.771832169650107
0.4450000000000001,0.7718598801102978
0.4460000000000001,0.7718709098897022
0.4470000000000001,0.77194011
0.4480000000000001,0.7719803995971041
0.4490000000000001,0.77197939
0.4500000000000001,0.7720695705221895
0.4510000000000001,0.7721217894778105
0.4520000000000001,0.7721589806234875
0.4530000000000001,0.7722213293765126
0.4540000000000001,0.77229202
0.4550000000000001,0.7723751691685083
0.4560000000000001,0.77247447
0.4570000000000001,0.7724843003820963
0.4580000000000001,0.77252251
0.4590000000000001,0.7725767500827984
0.4600000000000001,0.7725850299172017
0.4610000000000001,0.77268088
0.4620000000000001,0.7727543692651074
0.4630000000000001,0.77271372
0.4640000000000001,0.7728832408635914
0.4650000000000001,0.7729696
0.4660000000000001,0.7729601312539749
