wave,Tholin Tran 03 D
0.4,0.0154559340894167
0.401,0.01544773667455246
0.402,0.015439542093709235
0.40299999999999997,0.01543135034682308
0.40399999999999997,0.015423161433851362
0.405,0.015414975354723026
0.406,0.01540679210939544
0.407,0.01539861169781176
0.408,0.015390434119915142
0.409,0.015382259375648744
0.41,0.015374087464948616
0.411,0.015365918387772126
0.412,0.015357752144055326
0.413,0.015349588733748476
0.414,0.015341428156780523
0.415,0.015333270413108835
0.416,0.015325115502669462
0.417,0.015316963425398455
0.418,0.015308814181253183
0.419,0.01530066777016259
0.42,0.015292524192069834
0.421,0.015284383446925176
0.422,0.015276245534657562
0.423,0.015268110455217254
0.424,0.015259978208547409
0.425,0.015251848794569867
0.4260000000000001,0.0152437222132491
0.4270000000000001,0.01523559846450695
0.4280000000000001,0.015227477548286572
0.4290000000000001,0.015219359464538229
0.4300000000000001,0.015211244213190867
0.4310000000000001,0.015203131794180536
0.4320000000000001,0.015195022207457498
0.4330000000000001,0.0151869154529507
0.4340000000000001,0.015178811530603298
0.4350000000000001,0.015170710440351343
0.4360000000000001,0.015162612182137991
0.4370000000000001,0.015154516755892189
0.4380000000000001,0.015146424161549987
0.4390000000000001,0.015138334399061648
0.4400000000000001,0.015130247468356117
0.4410000000000001,0.01512216336936234
0.4420000000000001,0.015114082102037685
0.4430000000000001,0.015106003666296886
0.4440000000000001,0.015097928062083099
0.4450000000000001,0.015089855289332377
0.4460000000000001,0.015081785347987875
0.4470000000000001,0.015073718237971434
0.4480000000000001,0.01506565395922621
0.4490000000000001,0.015057592511688256
0.4500000000000001,0.015049533895286515
0.4510000000000001,0.015049533895286515
0.4520000000000001,0.015049533895286515
0.4530000000000001,0.015049533895286515
0.4540000000000001,0.015049533895286515
0.4550000000000001,0.015049533895286515
0.4560000000000001,0.015049533895286515
0.4570000000000001,0.015049533895286515
0.4580000000000001,0.015049533895286515
0.4590000000000001,0.015049533895286515
0.4600000000000001,0.015049533895286515
0.4610000000000001,0.015049533895286515
0.4620000000000001,0.015049533895286515
0.4630000000000001,0.015049533895286515
0.4640000000000001,0.015049533895286515
0.4650000000000001,0.015049533895286515
0.4660000000000001,0.015049533895286515
0.4670000000000001,0.015049533895286515
0.4680000000000001,0.015049533895286515
0.4690000000000001,0.015049533895286515
0.4700000000000001,0.015049533895286515
0.4710000000000001,0.015049533895286515
0.4720000000000001,0.015049533895286515
0.4730000000000001,0.015049533895286515
0.4740000000000001,0.015049533895286515
0.4750000000000001,0.015049533895286515
0.4760000000000001,0.015049533895286515
0.4770000000000001,0.015049533895286515
0.4780000000000001,0.015049533895286515
0.4790000000000001,0.015049533895286515
0.4800000000000001,0.015049533895286515
0.4810000000000001,0.015049533895286515
0.4820000000000001,0.015049533895286515
0.4830000000000001,0.015049533895286515
0.4840000000000001,0.015049533895286515
0.4850000000000001,0.015049533895286515
0.4860000000000001,0.015049533895286515
0.4870000000000001,0.015049533895286515
0.4880000000000001,0.015049533895286515
0.4890000000000001,0.015049533895286515
0.4900000000000001,0.015049533895286515
0.4910000000000001,0.015049533895286515
0.4920000000000001,0.015049533895286515
0.4930000000000001,0.015049533895286515
0.4940000000000001,0.015049533895286515
0.4950000000000001,0.015049533895286515
0.4960000000000001,0.015049533895286515
0.4970000000000001,0.015049533895286515
0.4980000000000001,0.015049533895286515
0.4990000000000001,0.015049533895286515
0.5000000000000001,0.015049533895286515
0.5010000000000001,0.015041478109964146
0.5020000000000001,0.015033425155642988
0.5030000000000001,0.015025375032259092
0.5040000000000001,0.015017327739755615
0.5050000000000001,0.015009283278061503
0.5060000000000001,0.015001241647098595
0.5070000000000001,0.014993202846817155
0.5080000000000001,0.014985166877146128
0.5090000000000001,0.014977133738007353
0.5100000000000001,0.014969103429343988
0.5110000000000001,0.014961075951077873
0.5120000000000001,0.014953051303152165
0.5130000000000001,0.014945029485488703
0.5140000000000001,0.01493701049802354
0.5150000000000001,0.014928994340692725
0.5160000000000001,0.0149209810134181
0.5170000000000001,0.01491297051612861
0.5180000000000001,0.0149049628487532
0.5190000000000001,0.014896958011242134
0.5200000000000001,0.014888956003495935
0.5210000000000001,0.01488095682547197
0.5220000000000001,0.014872960477077868
0.5230000000000001,0.014864966958256787
0.5240000000000001,0.01485697626892346
0.5250000000000001,0.014848988409021047
0.5260000000000001,0.014841003378471385
0.5270000000000001,0.01483302117720342
0.5280000000000001,0.014825041805138994
0.5290000000000001,0.014817065262214157
0.5300000000000001,0.01480909154835075
0.5310000000000001,0.014801120663484824
0.5320000000000001,0.014793152607531113
0.5330000000000001,0.014785187380425668
0.5340000000000001,0.014777224982090331
0.5350000000000001,0.014769265412446941
0.5360000000000001,0.01476130867143155
0.5370000000000001,0.014753354758965997
0.5380000000000001,0.014745403674972124
0.5390000000000001,0.01473745541937177
0.5400000000000001,0.014729509992100986
0.5410000000000001,0.014721567393081614
0.5420000000000001,0.014713627622228387
0.5430000000000001,0.014705690679484462
0.5440000000000002,0.014697756564750364
0.5450000000000002,0.014689825277969248
0.5460000000000002,0.014681896819048745
0.5470000000000002,0.014673971187924906
0.5480000000000002,0.014666048384512465
0.5490000000000002,0.014658128408740367
0.5500000000000002,0.014650211260530455
0.5510000000000002,0.014650211260530455
0.5520000000000002,0.014650211260530455
0.5530000000000002,0.014650211260530455
0.5540000000000002,0.014650211260530455
0.5550000000000002,0.01465021126053756
0.5560000000000002,0.01465021126053756
0.5570000000000002,0.014650211260530455
0.5580000000000002,0.014650211260530455
0.5590000000000002,0.014650211260530455
0.5600000000000002,0.014650211260530455
