wave,Tholin Jovanovic P650
0.4,0.02240311643410209
0.401,0.022382472492139982
0.402,0.02236183981948514
0.40299999999999997,0.022341218416858766
0.40399999999999997,0.022320608284978505
0.405,0.022300009424547795
0.406,0.022269132269439496
0.407,0.02223828047909393
0.408,0.022207454055884313
0.409,0.022176653002173197
0.41,0.022145877320308927
0.411,0.022125374295690392
0.412,0.022104882549175642
0.413,0.02208440208145035
0.414,0.022063932893196636
0.415,0.022043474985100175
0.416,0.02202302835783243
0.417,0.022002593012075522
0.418,0.021982168948504466
0.419,0.02196175616778362
0.42,0.021941354670580893
0.421,0.021920964457564196
0.422,0.02190058552940144
0.423,0.021880217886746323
0.424,0.02185986153025965
0.425,0.02183951646059512
0.4260000000000001,0.02180902002031715
0.4270000000000001,0.021778548979050072
0.4280000000000001,0.021748103338971703
0.4290000000000001,0.02171768310224209
0.4300000000000001,0.021687288271017735
0.4310000000000001,0.02166703916542545
0.4320000000000001,0.021646801352748213
0.4330000000000001,0.021626574833614853
0.4340000000000001,0.02160635960865065
0.4350000000000001,0.021586155678477326
0.4360000000000001,0.021576057949129535
0.4370000000000001,0.021565963043713055
0.4380000000000001,0.021555870962302492
0.4390000000000001,0.021545781704976008
0.4400000000000001,0.02153569527181176
0.4410000000000001,0.021515530878264855
0.4420000000000001,0.021495377782276393
0.4430000000000001,0.02147523598445744
0.4440000000000001,0.02145510548540841
0.4450000000000001,0.021434986285729707
0.4460000000000001,0.021414878386025293
0.4470000000000001,0.021394781786892025
0.4480000000000001,0.021374696488923206
0.4490000000000001,0.02135462249271214
0.4500000000000001,0.02133455979884502
0.4510000000000001,0.02131450840790805
0.4520000000000001,0.021294468320487425
0.4530000000000001,0.02127443953716579
0.4540000000000001,0.021254422058522238
0.4550000000000001,0.021234415885128755
0.4560000000000001,0.02122441703808775
0.4570000000000001,0.02121442101757509
0.4580000000000001,0.021204427823668937
0.4590000000000001,0.021194437456443893
0.4600000000000001,0.021184449915974568
0.4610000000000001,0.021164483315512683
0.4620000000000001,0.021144528022890796
0.4630000000000001,0.021124584038688
0.4640000000000001,0.02110465136347983
0.4650000000000001,0.02108472999786315
0.4660000000000001,0.021074773556655657
0.4670000000000001,0.021064819943315882
0.4680000000000001,0.02105486915806054
0.4690000000000001,0.02104492120119872
0.4700000000000001,0.02103497607314253
0.4710000000000001,0.021015094299045245
0.4720000000000001,0.02099522383905139
0.4730000000000001,0.02097536469477035
0.4740000000000001,0.02095551686831243
0.4750000000000001,0.02093568036255178
0.4760000000000001,0.020925766372823063
0.4770000000000001,0.020915855226412816
0.4780000000000001,0.02090594693022041
0.4790000000000001,0.0208960414942716
0.4800000000000001,0.02088613893312541
0.4810000000000001,0.020866342215864364
0.4820000000000001,0.020846556908793445
0.4830000000000001,0.02082678305436403
0.4840000000000001,0.020807020713363045
0.4850000000000001,0.02078726997283553
