wave,L-Proline
0.4,0.6402481258422831
0.401,0.6340045130559389
0.402,0.6323101069440612
0.40299999999999997,0.6322181200000002
0.40399999999999997,0.6370207819733803
0.405,0.64563268
0.406,0.6408401114777702
0.407,0.6349878885222295
0.408,0.6346895227205456
0.409,0.6359615772794543
0.41,0.6362303500000002
0.411,0.6395670466330337
0.412,0.64378494
0.413,0.6381826867553323
0.414,0.6368582200000001
0.415,0.639008935693086
0.416,0.6385782443069138
0.417,0.63639748
0.418,0.6379498044767553
0.419,0.6399744199999998
0.42,0.6356156647662524
0.421,0.63709229
0.422,0.639489404152917
0.423,0.6389046958470831
0.424,0.6372646628285433
0.425,0.6365475171714565
0.4260000000000001,0.6379471999999999
0.4270000000000001,0.6402299952757472
0.4280000000000001,0.63975757
0.4290000000000001,0.6403765853728927
0.4300000000000001,0.6419138746271076
0.4310000000000001,0.6412392700553988
0.4320000000000001,0.6392448099446011
0.4330000000000001,0.63840771
0.4340000000000001,0.6388854325905741
0.4350000000000001,0.6381444900000001
0.4360000000000001,0.6398063432731346
0.4370000000000001,0.6411336567268655
0.4380000000000001,0.6397151346702066
0.4390000000000001,0.6391821553297934
0.4400000000000001,0.6394405400000001
0.4410000000000001,0.6406698677067231
0.4420000000000001,0.64206123
0.4430000000000001,0.6410832816743665
0.4440000000000001,0.6392507183256333
0.4450000000000001,0.6385856395401093
0.4460000000000001,0.6395396504598908
0.4470000000000001,0.63905549
0.4480000000000001,0.6389568409864901
0.4490000000000001,0.64041078
0.4500000000000001,0.6397928570531589
0.4510000000000001,0.6394981729468411
0.4520000000000001,0.6397751043379133
0.4530000000000001,0.6402088956620867
0.4540000000000001,0.6423544900000001
0.4550000000000001,0.6431111024338757
0.4560000000000001,0.64183342
0.4570000000000001,0.6417802580831191
0.4580000000000001,0.64158857
0.4590000000000001,0.6414384235113297
0.4600000000000001,0.6417895564886702
0.4610000000000001,0.64255989
0.4620000000000001,0.6420479451194487
0.4630000000000001,0.6410862800000001
0.4640000000000001,0.6417345435964641
0.4650000000000001,0.64209419
