wave,40_30_30
0.719,0.070366644
0.72,0.070365574
0.721,0.07036353
0.722,0.07036151
0.723,0.070359512
0.724,0.070357539
0.725,0.070355589
0.726,0.070353664
0.727,0.070351764
0.728,0.070349891
0.729,0.070348043
0.73,0.070346222
0.731,0.070325569
0.732,0.070304982
0.733,0.070284461
0.734,0.070264007
0.735,0.070243621
0.736,0.070223303
0.737,0.070203055
0.738,0.070182877
0.739,0.07016277
0.74,0.070142735
0.741,0.070143262
0.742,0.070143824
0.743,0.070144422
0.744,0.070145057
0.745,0.070145729
0.746,0.070146439
0.747,0.070147188
0.748,0.070147976
0.749,0.070148806
0.75,0.070149676
0.751,0.070148179
0.752,0.070146685
0.753,0.070145193
0.754,0.070143703
0.755,0.070142216
0.756,0.070140731
0.757,0.070139248
0.758,0.070137768
0.759,0.070136291
0.76,0.070134815
0.761,0.070133334
0.762,0.070131854
0.763,0.070130378
0.764,0.070128903
0.765,0.070127431
0.766,0.070125962
0.767,0.070124495
0.768,0.07012303
0.769,0.070121568
0.77,0.070120108
0.771,0.070120204
0.772,0.070120346
0.773,0.070120535
0.774,0.070120772
0.775,0.070121058
0.776,0.070121394
0.777,0.070121782
0.778,0.070122221
0.779,0.070122714
0.78,0.07012326
0.781,0.070121916
0.782,0.070120574
0.783,0.070119235
0.784,0.070117899
0.785,0.070116565
0.786,0.070115234
0.787,0.070113906
0.788,0.07011258
0.789,0.070111257
0.79,0.070109937
0.791,0.070110667
0.792,0.070111455
0.793,0.070112302
0.794,0.07011321
0.795,0.070114179
0.796,0.070115212
0.797,0.070116309
0.798,0.070117471
0.799,0.070118701
0.8,0.070119998
0.801,0.070121393
0.802,0.070122859
0.803,0.070124397
0.804,0.070126009
0.805,0.070127696
0.806,0.07012946
0.807,0.070131301
0.808,0.070133223
0.809,0.070135226
0.81,0.070137311
0.811,0.070137339
0.812,0.07013737
0.813,0.070137404
0.814,0.070137441
0.815,0.070137482
0.816,0.070137458
0.817,0.070136826
0.818,0.070136197
0.819,0.070135571
