wave,Butane
0.4,0.7411940087900242
0.401,0.7412456335279295
0.402,0.7415984264720706
0.40299999999999997,0.74166262
0.40399999999999997,0.7416242403837963
0.405,0.74162632
0.406,0.7417134007212856
0.407,0.7417855292787144
0.408,0.7418252799941002
0.409,0.7418246900058998
0.41,0.74199206
0.411,0.7421740281803182
0.412,0.74208462
0.413,0.7423183923466765
0.414,0.74255306
0.415,0.7426711310150796
0.416,0.7427726389849203
0.417,0.74277633
0.418,0.7427336004272956
0.419,0.74283677
0.42,0.743060951407186
0.421,0.74320167
0.422,0.743086702642747
0.423,0.7433509773572529
0.424,0.7435370707092859
0.425,0.7436079992907142
0.4260000000000001,0.74370772
0.4270000000000001,0.7437434805202948
0.4280000000000001,0.74379551
0.4290000000000001,0.7439883396912061
0.4300000000000001,0.7439574603087937
0.4310000000000001,0.7440049120294594
0.4320000000000001,0.7442078579705407
0.4330000000000001,0.74418485
0.4340000000000001,0.7442840915342847
0.4350000000000001,0.74443752
0.4360000000000001,0.7444754212010759
0.4370000000000001,0.7445955287989241
0.4380000000000001,0.7447188508570829
0.4390000000000001,0.7448045591429171
0.4400000000000001,0.74487197
0.4410000000000001,0.7449425492942071
0.4420000000000001,0.745013
0.4430000000000001,0.7450562707599848
0.4440000000000001,0.7451322692400153
0.4450000000000001,0.7452168507282855
0.4460000000000001,0.7452896792717145
0.4470000000000001,0.74538517
0.4480000000000001,0.7454426294254057
0.4490000000000001,0.74545383
0.4500000000000001,0.7455471209696806
0.4510000000000001,0.7456440890303194
0.4520000000000001,0.7457491212504751
0.4530000000000001,0.7458741687495251
0.4540000000000001,0.74593478
0.4550000000000001,0.7459809195386047
0.4560000000000001,0.74602848
0.4570000000000001,0.7460870709536904
0.4580000000000001,0.74618244
0.4590000000000001,0.7462899701543969
0.4600000000000001,0.746305409845603
0.4610000000000001,0.7464214
0.4620000000000001,0.7465235589784102
0.4630000000000001,0.74651968
0.4640000000000001,0.7466000907182929
0.4650000000000001,0.74667192
0.4660000000000001,0.7467299109768805
0.4670000000000001,0.7468275990231196
0.4680000000000001,0.7469118806693866
0.4690000000000001,0.7469788193306134
0.4700000000000001,0.74701732
0.4710000000000001,0.7470969004713952
0.4720000000000001,0.74714404
0.4730000000000001,0.7471381411139777
0.4740000000000001,0.7472495388860223
0.4750000000000001,0.7473278606186876
0.4760000000000001,0.7473897293813123
0.4770000000000001,0.74748373
0.4780000000000001,0.7475439905870942
0.4790000000000001,0.7476027
0.4800000000000001,0.7476761302914942
0.4810000000000001,0.7477052797085059
0.4820000000000001,0.7477565407485851
0.4830000000000001,0.7478313992514151
0.4840000000000001,0.74791551
0.4850000000000001,0.7479337998171021
0.4860000000000001,0.74794739
0.4870000000000001,0.7480207706686867
0.4880000000000001,0.7480876393313134
0.4890000000000001,0.7481356902782944
0.4900000000000001,0.7481635197217056
0.4910000000000001,0.74823016
0.4920000000000001,0.7482794495071049
0.4930000000000001,0.74831891
0.4940000000000001,0.7483623604821952
