wave_nm,QE
799,0.200499215
800,0.201464312
801,0.202122014
802,0.202779717
803,0.203437419
804,0.204095121
805,0.204752824
806,0.205410526
807,0.206068229
808,0.206725931
809,0.207383633
810,0.208041336
811,0.20836041
812,0.208524316
813,0.208688222
814,0.208852128
815,0.209016034
816,0.20917994
817,0.209343846
818,0.209507752
819,0.209671658
820,0.209835564
821,0.20924525
822,0.208630401
823,0.208015552
824,0.207400703
825,0.206785854
826,0.206171005
827,0.205556156
828,0.204941307
829,0.204326458
830,0.203788627
831,0.203476513
832,0.203164399
833,0.202852284
834,0.20254017
835,0.202228055
836,0.201915941
837,0.201603827
838,0.201291712
839,0.200979598
840,0.200667484
841,0.200355369
842,0.200140281
843,0.199953739
844,0.199767198
845,0.199580657
846,0.199394116
847,0.199207574
848,0.199021033
849,0.198834492
850,0.198238294
851,0.196304841
852,0.194371387
853,0.192437933
854,0.190504479
855,0.188571025
856,0.186637571
857,0.184704117
858,0.182770663
859,0.180837209
860,0.178903755
861,0.176975797
862,0.175048207
863,0.173120617
864,0.171193027
865,0.169265436
866,0.167337846
867,0.165410256
868,0.163482666
869,0.161555075
870,0.159897437
871,0.1591504
872,0.158403363
873,0.157656326
874,0.156909289
875,0.156162252
876,0.155415215
877,0.154668177
878,0.15392114
879,0.153174103
880,0.152427066
881,0.151680029
882,0.150932992
883,0.150185955
884,0.149438918
885,0.14869188
886,0.147944843
887,0.147197806
888,0.146450769
889,0.145703732
890,0.144783422
891,0.143694775
892,0.142606127
893,0.141517479
894,0.140428832
895,0.139191677
896,0.137415433
897,0.13563919
898,0.133862947
899,0.132086703
900,0.130343193
901,0.129098526
902,0.12785386
903,0.126609193
904,0.125364526
905,0.124119859
906,0.122875355
907,0.121634151
908,0.120392947
909,0.119151743
910,0.117910539
911,0.116669335
912,0.115428132
913,0.114103516
914,0.112750428
915,0.11139734
916,0.110044253
917,0.108691165
918,0.107338077
919,0.106019809
920,0.104745041
921,0.103470273
922,0.102195505
923,0.100920738
924,0.09964597
925,0.098384039
926,0.097198773
927,0.096013507
928,0.094828241
929,0.093642975
930,0.092457709
931,0.091272443
932,0.090124857
933,0.08898434
934,0.087843823
935,0.086703305
936,0.085562788
937,0.08442227
938,0.083526603
939,0.082839069
940,0.082151535
941,0.081464001
942,0.080776468
943,0.080088934
944,0.079442618
945,0.078928403
946,0.078414187
947,0.077899971
948,0.077385756
949,0.07687154
950,0.076357325
