wave_nm,QE
799,0.17331065
800,0.180321965
801,0.184571138
802,0.187977098
803,0.191387452
804,0.194817384
805,0.198247316
806,0.201584248
807,0.204717491
808,0.207850734
809,0.210115242
810,0.211291791
811,0.21246834
812,0.213644888
813,0.214821437
814,0.215004518
815,0.215021282
816,0.215038047
817,0.215054811
818,0.215071575
819,0.215088339
820,0.215006385
821,0.21484432
822,0.214682254
823,0.214520188
824,0.214358123
825,0.214196057
826,0.213977177
827,0.213585946
828,0.213194715
829,0.212803485
830,0.212412254
831,0.212021023
832,0.211629793
833,0.210927042
834,0.210205959
835,0.209484877
836,0.208763795
837,0.208042712
838,0.20732163
839,0.206503648
840,0.205631586
841,0.204759524
842,0.203887462
843,0.2030154
844,0.202143338
845,0.201229496
846,0.200234399
847,0.199239303
848,0.198244206
849,0.19724911
850,0.196254013
851,0.195240835
852,0.193766031
853,0.192291227
854,0.190816422
855,0.189341618
856,0.187866814
857,0.186303187
858,0.184541723
859,0.182780259
860,0.181018795
861,0.179257331
862,0.177169332
863,0.174959413
864,0.172749495
865,0.170539576
866,0.168563857
867,0.166679266
868,0.164794675
869,0.162910085
870,0.161025494
871,0.159732691
872,0.158894182
873,0.158055672
874,0.157217163
875,0.156378654
876,0.155540145
877,0.154772331
878,0.154202209
879,0.153632087
880,0.153061965
881,0.152491844
882,0.151921722
883,0.1513516
884,0.150856646
885,0.150364792
886,0.149872938
887,0.149381085
888,0.148889231
889,0.148397377
890,0.147183626
891,0.145593265
892,0.144002905
893,0.142412545
894,0.140822184
895,0.139191677
896,0.137415433
897,0.13563919
898,0.133862947
899,0.132086703
900,0.130343193
901,0.129098526
902,0.12785386
903,0.126609193
904,0.125364526
905,0.124119859
906,0.122875355
907,0.121634151
908,0.120392947
909,0.119151743
910,0.117910539
911,0.116669335
912,0.115428132
913,0.114103516
914,0.112750428
915,0.11139734
916,0.110044253
917,0.108691165
918,0.107338077
919,0.106019809
920,0.104745041
921,0.103470273
922,0.102195505
923,0.100920738
924,0.09964597
925,0.098384039
926,0.097198773
927,0.096013507
928,0.094828241
929,0.093642975
930,0.092457709
931,0.091272443
932,0.090124857
933,0.08898434
934,0.087843823
935,0.086703305
936,0.085562788
937,0.08442227
938,0.083526603
939,0.082839069
940,0.082151535
941,0.081464001
942,0.080776468
943,0.080088934
944,0.079442618
945,0.078928403
946,0.078414187
947,0.077899971
948,0.077385756
949,0.07687154
950,0.076357325
951,0.075435471
952,0.074485116
953,0.07353476
954,0.072584405
955,0.07163405
956,0.070683695
957,0.069605958
958,0.068454254
959,0.067302549
960,0.066150845
961,0.064999141
962,0.063847436
963,0.06264942
964,0.06135787
965,0.06006632
966,0.05877477
967,0.057483219
968,0.056191669
969,0.054906507
970,0.053827516
971,0.052748525
972,0.051669534
973,0.050590543
974,0.049511552
975,0.048432561
976,0.047488
977,0.046593569
978,0.045699138
979,0.044804707
980,0.043910276
981,0.043015845
982,0.042211981
983,0.041530039
984,0.040848096
985,0.040166153
986,0.039484211
987,0.038802268
988,0.038132064
989,0.037545169
990,0.036958275
991,0.036371381
992,0.035784486
993,0.035197592
994,0.034610697
995,0.034042153
996,0.033477621
997,0.03291309
998,0.032348559
999,0.031784028
1000,0.031219497
1001,0.030637606
1002,0.03003953
1003,0.029441454
1004,0.028843378
1005,0.028245302
1006,0.027647226
1007,0.02704795
1008,0.026444283
1009,0.025840616
1010,0.025236949
1011,0.024633282
1012,0.024029615
1013,0.023425948
1014,0.022908922
1015,0.022400297
1016,0.021891672
1017,0.021383047
1018,0.020874422
1019,0.020365797
1020,0.019911592
1021,0.019492411
1022,0.019073231
1023,0.01865405
1024,0.018234869
1025,0.017815688
1026,0.017411853
1027,0.017042981
1028,0.01667411
1029,0.016305239
1030,0.015936368
1031,0.015567496
1032,0.015198658
1033,0.014852146
1034,0.014505634
1035,0.014159121
1036,0.013812609
1037,0.013466097
1038,0.013119585
1039,0.012769172
1040,0.01241707
1041,0.012064968
1042,0.011712867
1043,0.011360765
1044,0.011008663
1045,0.010658765
1046,0.010312253
1047,0.00996574
1048,0.009619228
1049,0.009272716
