wave_nm,QE
798,0.261743244
799,0.260949471
800,0.260155697
801,0.259361923
802,0.258568149
803,0.257774375
804,0.256970836
805,0.256160287
806,0.255349737
807,0.254539188
808,0.253728638
809,0.252918089
810,0.251945641
811,0.250556314
812,0.249166986
813,0.247777658
814,0.24638833
815,0.244999002
816,0.243523618
817,0.241978301
818,0.240432983
819,0.238887666
820,0.237342348
821,0.235750598
822,0.234088255
823,0.232425913
824,0.230763571
825,0.229101229
826,0.227537936
827,0.226284674
828,0.225031412
829,0.223778151
830,0.222524889
831,0.221271627
832,0.220375077
833,0.219816136
834,0.219257196
835,0.218698255
836,0.218139315
837,0.217580374
838,0.216977844
839,0.216212029
840,0.215446214
841,0.214680399
842,0.213914584
843,0.213148769
844,0.212382954
845,0.211340838
846,0.210270796
847,0.209200754
848,0.208130712
849,0.20706067
850,0.2058314
851,0.203873758
852,0.201916116
853,0.199958474
854,0.198000832
855,0.195973751
856,0.193899999
857,0.191826247
858,0.189752496
859,0.187666028
860,0.185550345
861,0.183434662
862,0.181318979
863,0.179201219
864,0.176841983
865,0.174482747
866,0.172250956
867,0.170766578
868,0.1692822
869,0.167797822
870,0.166313444
871,0.164829066
872,0.163344688
873,0.16186031
874,0.160375932
875,0.159459945
876,0.159001633
877,0.158543321
878,0.158085009
879,0.157626697
880,0.157168386
881,0.1566165
882,0.155784841
883,0.154953182
884,0.154121523
885,0.153289864
886,0.152119584
887,0.150780342
888,0.149441101
889,0.148101859
890,0.146762618
891,0.145423377
892,0.144084135
893,0.142744894
894,0.141405652
895,0.140066411
896,0.138727169
897,0.137387928
898,0.136048686
899,0.134709445
900,0.133370203
901,0.132030962
902,0.13069172
903,0.129352479
904,0.128085862
905,0.126962124
906,0.125838387
907,0.12471465
908,0.123590913
909,0.122467176
910,0.121334101
911,0.119946898
912,0.118559696
913,0.117172494
914,0.115785292
915,0.11439809
916,0.113047546
917,0.111863887
918,0.110680227
919,0.109496567
920,0.108312907
921,0.107129247
922,0.105945587
923,0.104761927
924,0.103578268
925,0.102394608
926,0.101210948
927,0.100027288
928,0.098843628
929,0.097659968
930,0.096476308
931,0.095292649
932,0.094108989
933,0.092925329
934,0.091741669
935,0.090558009
936,0.089374349
937,0.08819069
938,0.08700703
939,0.08582337
940,0.08463971
941,0.08345605
942,0.082331749
943,0.081392822
944,0.080453894
945,0.079514967
946,0.078576039
947,0.077637112
948,0.076698184
949,0.075759257
950,0.074820329
951,0.073881402
952,0.072942474
953,0.072003546
954,0.071064619
955,0.070125691
956,0.069186764
957,0.068247836
958,0.067308909
959,0.066369981
960,0.065431054
961,0.064492126
962,0.063553199
963,0.062614271
964,0.061675344
965,0.060736416
966,0.059797489
967,0.058858561
968,0.057919633
969,0.056980706
970,0.056041778
971,0.055102851
972,0.054163923
973,0.053224996
974,0.052286068
975,0.051347141
976,0.050408213
977,0.049469286
978,0.048530358
979,0.047591431
980,0.046652503
981,0.045713575
