wave_um,QE
0.719,0.352517813
0.72,0.352635157
0.721,0.352752501
0.722,0.352385457
0.723,0.351535763
0.724,0.35068607
0.725,0.349836377
0.726,0.348986683
0.727,0.34813699
0.728,0.347429424
0.729,0.347295302
0.73,0.34716118
0.731,0.347027058
0.732,0.346892937
0.733,0.346758815
0.734,0.346624693
0.735,0.346560552
0.736,0.34650467
0.737,0.346448788
0.738,0.346392906
0.739,0.346337024
0.74,0.346281141
0.741,0.344917665
0.742,0.342645753
0.743,0.340373841
0.744,0.338101929
0.745,0.335824881
0.746,0.333002155
0.747,0.33017943
0.748,0.327356704
0.749,0.32570971
0.75,0.324252846
0.751,0.322795982
0.752,0.321339118
0.753,0.319882255
0.754,0.31895009
0.755,0.318022105
0.756,0.31709412
0.757,0.316166135
0.758,0.31523815
0.759,0.314310165
0.76,0.312860295
0.761,0.311175984
0.762,0.309491673
0.763,0.307807362
0.764,0.306123052
0.765,0.304389491
0.766,0.302507435
0.767,0.300625379
0.768,0.298743323
0.769,0.296861267
0.77,0.294915632
0.771,0.292938337
0.772,0.290961042
0.773,0.288983746
0.774,0.287011433
0.775,0.285091891
0.776,0.283172349
0.777,0.281252807
0.778,0.279333265
0.779,0.277621161
0.78,0.276650921
0.781,0.275680681
0.782,0.274710441
0.783,0.273740201
0.784,0.272769961
0.785,0.271940831
0.786,0.271258888
0.787,0.270576946
0.788,0.269895003
0.789,0.269213061
0.79,0.268531118
0.791,0.267812628
0.792,0.266934974
0.793,0.26605732
0.794,0.265179666
0.795,0.264302012
0.796,0.263424358
0.797,0.262546704
0.798,0.261743244
0.799,0.260949471
0.8,0.260155697
0.801,0.259361923
0.802,0.258568149
0.803,0.257774375
0.804,0.256970836
0.805,0.256160287
0.806,0.255349737
0.807,0.254539188
0.808,0.253728638
0.809,0.252918089
0.81,0.251945641
0.811,0.250556314
0.812,0.249166986
0.813,0.247777658
0.814,0.24638833
0.815,0.244999002
0.816,0.243523618
0.817,0.241978301
0.818,0.240432983
0.819,0.238887666
0.82,0.237342348
0.821,0.235750598
0.822,0.234088255
0.823,0.232425913
0.824,0.230763571
0.825,0.229101229
0.826,0.227537936
0.827,0.226284674
0.828,0.225031412
0.829,0.223778151
0.83,0.222524889
0.831,0.221271627
0.832,0.220375077
0.833,0.219816136
0.834,0.219257196
0.835,0.218698255
0.836,0.218139315
0.837,0.217580374
0.838,0.216977844
0.839,0.216212029
0.84,0.215446214
0.841,0.214680399
0.842,0.213914584
0.843,0.213148769
0.844,0.212382954
0.845,0.211340838
0.846,0.210270796
0.847,0.209200754
0.848,0.208130712
0.849,0.20706067
0.85,0.2058314
0.851,0.203873758
0.852,0.201916116
0.853,0.199958474
0.854,0.198000832
0.855,0.195973751
0.856,0.193899999
0.857,0.191826247
0.858,0.189752496
0.859,0.187666028
0.86,0.185550345
0.861,0.183434662
0.862,0.181318979
0.863,0.179201219
0.864,0.176841983
0.865,0.174482747
0.866,0.172250956
0.867,0.170766578
0.868,0.1692822
0.869,0.167797822
0.87,0.166313444
0.871,0.164829066
0.872,0.163344688
0.873,0.16186031
0.874,0.160375932
0.875,0.159459945
0.876,0.159001633
0.877,0.158543321
0.878,0.158085009
0.879,0.157626697
0.88,0.157168386
0.881,0.1566165
0.882,0.155784841
0.883,0.154953182
0.884,0.154121523
0.885,0.153289864
0.886,0.152119584
0.887,0.150780342
0.888,0.149441101
0.889,0.148101859
0.89,0.146762618
0.891,0.145423377
0.892,0.144084135
0.893,0.142744894
0.894,0.141405652
0.895,0.140066411
0.896,0.138727169
0.897,0.137387928
0.898,0.136048686
0.899,0.134709445
0.9,0.133370203
0.901,0.132030962
0.902,0.13069172
0.903,0.129352479
0.904,0.128085862
0.905,0.126962124
