wave_um,QE
0.719,0.053838113
0.72,0.053430113
0.721,0.053022112
0.722,0.052614112
0.723,0.052243751
0.724,0.051914008
0.725,0.051584265
0.726,0.051254522
0.727,0.050924779
0.728,0.050595036
0.729,0.050315837
0.73,0.050271132
0.731,0.050226426
0.732,0.050181721
0.733,0.050137015
0.734,0.050092309
0.735,0.050047604
0.736,0.050154108
0.737,0.050282628
0.738,0.050411147
0.739,0.050539666
0.74,0.050668185
0.741,0.050796704
0.742,0.050956962
0.743,0.051141354
0.744,0.051325747
0.745,0.05151014
0.746,0.051694532
0.747,0.051878925
0.748,0.052080952
0.749,0.052332389
0.75,0.052583827
0.751,0.052835264
0.752,0.053086702
0.753,0.053338139
0.754,0.053589577
0.755,0.053883824
0.756,0.054179956
0.757,0.054476088
0.758,0.054772219
0.759,0.055068351
0.76,0.055364483
0.761,0.055759033
0.762,0.056205997
0.763,0.05665296
0.764,0.057099923
0.765,0.057546886
0.766,0.057993849
0.767,0.058597692
0.768,0.059497035
0.769,0.060396377
0.77,0.061295719
0.771,0.062195061
0.772,0.063094404
0.773,0.064015673
0.774,0.065464972
0.775,0.066914271
0.776,0.06836357
0.777,0.069812869
0.778,0.071262168
0.779,0.073627091
0.78,0.076623764
0.781,0.079620438
0.782,0.082736048
0.783,0.086533368
0.784,0.090330687
0.785,0.095108915
0.786,0.099920438
0.787,0.103811915
0.788,0.107703392
0.789,0.112013884
0.79,0.11651308
0.791,0.122887396
0.792,0.129372294
0.793,0.13526121
0.794,0.141600309
0.795,0.148473446
0.796,0.154571513
0.797,0.160567534
0.798,0.166866739
0.799,0.17331065
0.8,0.180321965
0.801,0.184571138
0.802,0.187977098
0.803,0.191387452
0.804,0.194817384
0.805,0.198247316
0.806,0.201584248
0.807,0.204717491
0.808,0.207850734
0.809,0.210115242
0.81,0.211291791
0.811,0.21246834
0.812,0.213644888
0.813,0.214821437
0.814,0.215004518
0.815,0.215021282
0.816,0.215038047
0.817,0.215054811
0.818,0.215071575
0.819,0.215088339
0.82,0.215006385
0.821,0.21484432
0.822,0.214682254
0.823,0.214520188
0.824,0.214358123
0.825,0.214196057
0.826,0.213977177
0.827,0.213585946
0.828,0.213194715
0.829,0.212803485
0.83,0.212412254
0.831,0.212021023
0.832,0.211629793
0.833,0.210927042
0.834,0.210205959
0.835,0.209484877
0.836,0.208763795
0.837,0.208042712
0.838,0.20732163
0.839,0.206503648
0.84,0.205631586
0.841,0.204759524
0.842,0.203887462
0.843,0.2030154
0.844,0.202143338
0.845,0.201229496
0.846,0.200234399
0.847,0.199239303
0.848,0.198244206
0.849,0.19724911
0.85,0.196254013
0.851,0.195240835
0.852,0.193766031
0.853,0.192291227
0.854,0.190816422
0.855,0.189341618
0.856,0.187866814
0.857,0.186303187
