wave,wave_nm,100_0_0,0_100_0,0_0_100,40_20_40,20_50_30
0.799,799,0.416968894,0.06733341,0.983292826,0.321994495,0.185558771
0.8,800,0.417197229,0.067419707,0.98320334,0.322128256,0.185661637
0.801,801,0.417425261,0.067550507,0.983176409,0.322295723,0.185807942
0.802,802,0.417652991,0.067676321,0.983149588,0.322459031,0.185949132
0.803,803,0.417880418,0.067809675,0.983122877,0.322627972,0.186097675
0.804,804,0.418107545,0.067939333,0.983096274,0.322794036,0.186242601
0.805,805,0.418334371,0.068132021,0.983069779,0.323007331,0.186448702
0.806,806,0.418560897,0.068221207,0.983043391,0.323142616,0.18655413
0.807,807,0.418787124,0.06832332,0.983017109,0.32328756,0.186672126
0.808,808,0.419013053,0.068423068,0.982990933,0.323430615,0.186787788
0.809,809,0.419238684,0.06847933,0.982964861,0.323540652,0.186860998
0.81,810,0.419464018,0.068710223,0.982938894,0.323781805,0.187103798
0.811,811,0.419689055,0.068882453,0.982931168,0.323980417,0.187290802
0.812,812,0.419913797,0.068902861,0.982923465,0.324065015,0.187330438
0.813,813,0.420138244,0.069043258,0.982915784,0.324239483,0.187486448
0.814,814,0.420362397,0.069152816,0.982908125,0.324390599,0.187612414
0.815,815,0.420586255,0.069229609,0.982900487,0.324517045,0.187706568
0.816,816,0.420809821,0.069458056,0.982892872,0.324756959,0.187947694
0.817,817,0.421033095,0.069501192,0.982885279,0.324857902,0.18800909
0.818,818,0.421256077,0.069644312,0.982877708,0.325033656,0.188167404
0.819,819,0.421478768,0.069846473,0.982870158,0.325253475,0.188382882
0.82,820,0.421701169,0.06989902,0.98286263,0.325361211,0.188453353
0.821,821,0.42192328,0.070006666,0.982860999,0.325508437,0.188575948
0.822,822,0.422145102,0.070088486,0.982859372,0.32563609,0.188673379
0.823,823,0.422366636,0.070332179,0.982857749,0.325884883,0.1889277
0.824,824,0.422587882,0.070384204,0.982856129,0.325990183,0.188996316
0.825,825,0.422808841,0.070465425,0.982854514,0.326117158,0.189093136
0.826,826,0.423029513,0.070624296,0.982852902,0.326301962,0.189265019
0.827,827,0.4232499,0.070730848,0.982851294,0.326447579,0.189386233
0.828,828,0.423470002,0.070853538,0.982849689,0.326605182,0.189523062
0.829,829,0.423689819,0.071023369,0.982848088,0.326797817,0.189705422
0.83,830,0.423909353,0.070987703,0.982846491,0.326836895,0.189688911
0.831,831,0.424128603,0.071180722,0.982821488,0.327046371,0.189893449
0.832,832,0.424347571,0.071282558,0.982796582,0.327187876,0.190009904
0.833,833,0.424566257,0.071462681,0.982771771,0.327387515,0.1902019
0.834,834,0.424784662,0.071551878,0.982747055,0.327519192,0.190305916
0.835,835,0.425002786,0.071758655,0.982722433,0.327738618,0.19052371
0.836,836,0.42522063,0.071788564,0.982697906,0.327826053,0.190570481
0.837,837,0.425438194,0.071876454,0.982673471,0.327956308,0.190673029
0.838,838,0.42565548,0.072030013,0.982649129,0.328135421,0.190839023
0.839,839,0.425872488,0.07221122,0.982624879,0.328335124,0.191031773
0.84,840,0.426089218,0.072292874,0.982600721,0.328460648,0.191128372
0.841,841,0.426305672,0.072404704,0.982429194,0.328608057,0.191253838
0.842,842,0.426521849,0.072504554,0.982259766,0.328746313,0.191367597
0.843,843,0.42673775,0.072729338,0.982092376,0.328977484,0.191601989
0.844,844,0.426953376,0.072759211,0.981926964,0.329063587,0.191648214
0.845,845,0.427168728,0.07290284,0.981763475,0.32923421,0.19180422
0.846,846,0.427383806,0.073009801,0.981601855,0.329377246,0.191924632
0.847,847,0.427598611,0.073212573,0.981442054,0.329591543,0.192137571
0.848,848,0.427813143,0.073296932,0.981284023,0.329717782,0.192236272
0.849,849,0.428027404,0.073386264,0.981127716,0.329847374,0.192339548
0.85,850,0.428241392,0.073493329,0.980973088,0.329990339,0.192460132
0.851,851,0.42845511,0.073639682,0.98082016,0.330163556,0.192619435
0.852,852,0.428668558,0.073746099,0.980668829,0.330307144,0.192740297
0.853,853,0.428881736,0.073897452,0.980519057,0.330484021,0.192904474
0.854,854,0.429094646,0.073969746,0.980370806,0.330601983,0.1929923
0.855,855,0.429307286,0.074108947,0.98022404,0.330769574,0.193144645
0.856,856,0.429519659,0.074267398,0.980078724,0.330951247,0.193315433
0.857,857,0.429731765,0.074325738,0.979934826,0.331058559,0.193389715
0.858,858,0.429943604,0.07456627,0.979792314,0.33130079,0.193639435
0.859,859,0.430155176,0.074750399,0.979651156,0.331501125,0.193834806
0.86,860,0.430366484,0.074815526,0.979511324,0.331613344,0.193915663
0.861,861,0.430577526,0.074966465,0.9792887,0.331786858,0.194077555
0.862,862,0.430788304,0.075140479,0.979069021,0.331977514,0.194261753
0.863,863,0.430998818,0.075229763,0.97885219,0.332105442,0.194364434
0.864,864,0.43120907,0.075352165,0.978638119,0.332257537,0.194498764
0.865,865,0.431419058,0.075537838,0.978426722,0.332456446,0.194694022
0.866,866,0.431628784,0.075692143,0.978217919,0.332631953,0.194858989
0.867,867,0.431838249,0.075832088,0.978011632,0.332796861,0.195010205
0.868,868,0.432047453,0.075892208,0.97780779,0.332902591,0.195084558
0.869,869,0.432256397,0.0761003,0.977606323,0.333117448,0.195301068
0.87,870,0.432465081,0.076184915,0.977407164,0.333240916,0.195398777
0.871,871,0.432673506,0.076425835,0.977126971,0.333479465,0.1956466
0.872,872,0.432881672,0.076537726,0.976850909,0.333622734,0.195770445
0.873,873,0.43308958,0.07666642,0.976578828,0.333778316,0.195910409
0.874,874,0.43329723,0.076872858,0.976310587,0.333990928,0.196124852
0.875,875,0.433504624,0.07696493,0.976046053,0.334119294,0.196229567
0.876,876,0.433711761,0.07719285,0.975785099,0.334347377,0.196464442
0.877,877,0.433918642,0.077304771,0.975527609,0.334490299,0.196588244
0.878,878,0.434125268,0.077416577,0.975273469,0.334632805,0.196711718
0.879,879,0.434331639,0.077568085,0.975022574,0.334804315,0.196873154
0.88,880,0.434537755,0.077745703,0.974774824,0.33499493,0.197059598
0.881,881,0.434743618,0.077872607,0.974577956,0.335148435,0.197197535
0.882,882,0.434949228,0.078014774,0.974383094,0.335312983,0.197350008
0.883,883,0.435154586,0.0781407,0.974190192,0.33546546,0.197486849
0.884,884,0.435359691,0.078252631,0.973999204,0.335607621,0.197610295
0.885,885,0.435564545,0.078447168,0.973810084,0.335810118,0.197812676
0.886,886,0.435769148,0.078584969,0.973622792,0.335971076,0.197960837
0.887,887,0.4359735,0.078694585,0.973437285,0.336111065,0.198081821
0.888,888,0.436177603,0.07884307,0.973253526,0.336279553,0.198240056
0.889,889,0.436381456,0.078995939,0.973071475,0.336451029,0.198402352
0.89,890,0.43658506,0.07927575,0.972891096,0.336715466,0.198686134
0.891,891,0.436788416,0.079400964,0.972810749,0.336868561,0.198823337
0.892,892,0.436991524,0.079464751,0.972730827,0.336976445,0.198901637
0.893,893,0.437194385,0.079688328,0.972651324,0.337201125,0.199132678
0.894,894,0.437396999,0.079773259,0.972572238,0.337324306,0.199231142
0.895,895,0.437599367,0.080014196,0.972493563,0.337561445,0.199478681
0.896,896,0.43780149,0.080077933,0.972415296,0.337669117,0.19955696
0.897,897,0.438003367,0.080285639,0.972337432,0.337881622,0.199772556
0.898,898,0.438204999,0.080373746,0.972259967,0.338006705,0.199873892
0.899,899,0.438406387,0.080540571,0.972182898,0.338189053,0.200050287
0.9,900,0.438607532,0.0807515,0.97210622,0.338403809,0.200269012
0.901,901,0.438808434,0.080912017,0.972042885,0.338579829,0.200438146
0.902,902,0.439009093,0.081050972,0.971979837,0.338740204,0.200586805
0.903,903,0.43920951,0.081201019,0.971917073,0.338908418,0.200745895
0.904,904,0.439409685,0.081376244,0.971854592,0.339094905,0.200928991
0.905,905,0.439609619,0.081500987,0.971792391,0.339244586,0.201063949
0.906,906,0.439809313,0.081598107,0.971730468,0.339373908,0.201172411
0.907,907,0.440008766,0.081765157,0.971668819,0.339554022,0.201347503
0.908,908,0.44020798,0.081951662,0.971607444,0.339748217,0.201541124
0.909,909,0.440406955,0.082152997,0.971546339,0.339953233,0.20174895
0.91,910,0.440605692,0.082306394,0.971485502,0.340123135,0.201910935
0.911,911,0.44080419,0.082445364,0.971406012,0.340282338,0.202059076
0.912,912,0.441002451,0.082624253,0.971326923,0.340470401,0.20224517
0.913,913,0.441200475,0.08275757,0.971248231,0.340625515,0.202388023
0.914,914,0.441398262,0.082956465,0.971169932,0.340827845,0.202593046
0.915,915,0.441595813,0.083064523,0.971092022,0.340964121,0.202711535
0.916,916,0.441793129,0.083291359,0.971014498,0.341186715,0.202943231
0.917,917,0.441990209,0.083405495,0.970937356,0.34132732,0.203067521
0.918,918,0.442187055,0.083597017,0.970860592,0.341523863,0.203265347
0.919,919,0.442383666,0.083767249,0.970784203,0.341704894,0.203442899
0.92,920,0.442580045,0.083892483,0.970708185,0.341853294,0.203577671
0.921,921,0.442776189,0.084098977,0.97061141,0.342061894,0.203790797
0.922,922,0.442972102,0.084264631,0.970515174,0.342240818,0.203965053
0.923,923,0.443167782,0.084355002,0.970419472,0.342365118,0.204067678
0.924,924,0.44336323,0.084626004,0.970324297,0.34262016,0.204342059
0.925,925,0.443558447,0.084766985,0.970229643,0.342780976,0.204492785
0.926,926,0.443753433,0.084481884,0.970135505,0.342633763,0.204238814
0.927,927,0.443948189,0.084631308,0.970041877,0.342799981,0.204397079
0.928,928,0.444142715,0.084831575,0.969948754,0.343003283,0.204603935
0.929,929,0.444337012,0.08512398,0.969856129,0.343273182,0.204898347
0.93,930,0.44453108,0.085339315,0.969763999,0.343487401,0.205119627
0.931,931,0.44472492,0.085590711,0.969657755,0.343726752,0.205374549
0.932,932,0.444918531,0.084512105,0.969552123,0.34300227,0.204364489
0.933,933,0.445111916,0.084720954,0.969447094,0.343209394,0.204577853
0.934,934,0.445305073,0.084904513,0.969342663,0.343398464,0.204767428
0.935,935,0.445498004,0.085067263,0.969238823,0.34357241,0.204937222
0.936,936,0.445690708,0.085363922,0.969135565,0.343843497,0.205234473
0.937,937,0.445883187,0.085270193,0.969032884,0.343833149,0.205161698
0.938,938,0.446075441,0.084569682,0.968930774,0.343379761,0.204509586
0.939,939,0.44626747,0.084765302,0.968829227,0.343576977,0.20471032
0.94,940,0.446459275,0.084989486,0.968728237,0.343795102,0.204938409
0.941,941,0.446650856,0.085180785,0.968608411,0.34398935,0.205135282
0.942,942,0.446842214,0.085480369,0.968489312,0.344262469,0.205435445
0.943,943,0.447033349,0.084407769,0.96837093,0.343539261,0.204430099
0.944,944,0.447224261,0.084548371,0.968253257,0.343695792,0.204578115
0.945,945,0.447414952,0.084824779,0.968136284,0.343951365,0.204855678
0.946,946,0.447605421,0.084946232,0.968020002,0.34409451,0.204985965
0.947,947,0.447795669,0.08524685,0.967904403,0.344367768,0.205286732
0.948,948,0.447985696,0.08496029,0.967789478,0.344215838,0.20502994
0.949,949,0.448175503,0.084428352,0.967675219,0.34388203,0.204537064
0.95,950,0.448365091,0.084630303,0.967561618,0.344082969,0.204743511
0.951,951,0.448554459,0.084842141,0.967175664,0.344291721,0.204960342
0.952,952,0.448743608,0.085040867,0.966795211,0.34449081,0.205164637
0.953,953,0.448932539,0.085272603,0.966420066,0.34471388,0.20540037
0.954,954,0.449121252,0.086284614,0.966050046,0.345503811,0.206378564
0.955,955,0.449309747,0.084364911,0.96568498,0.344162834,0.204567249
0.956,956,0.449498026,0.084490661,0.965324706,0.344307978,0.204701544
0.957,957,0.449686087,0.084642737,0.964969069,0.34447277,0.204861312
0.958,958,0.449873933,0.084159147,0.964617925,0.344174316,0.204415834
0.959,959,0.450061562,0.084330963,0.964271135,0.344352594,0.204593748
0.96,960,0.450248976,0.084508025,0.963928568,0.344535302,0.204777171
0.961,961,0.450436176,0.084699054,0.963548249,0.344726519,0.204972747
0.962,962,0.450623161,0.084892926,0.963172843,0.344919839,0.205171096
0.963,963,0.450809931,0.085116428,0.962802198,0.345134904,0.205397815
0.964,964,0.450996488,0.084610174,0.962436165,0.34481846,0.204930023
