wave_nm,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9
449,7.67E-21,0.026780383,1.06E-06,8.72E-38,7.89E-62,9.54E-77,4.38E-58,1.15E-75,1.00E-56
450,2.55E-21,0.026841065,1.37E-06,2.90E-37,3.74E-61,4.07E-76,1.01E-57,3.00E-75,1.69E-56
451,8.34E-22,0.026780383,1.78E-06,9.57E-37,1.76E-60,1.73E-75,2.33E-57,7.82E-75,2.85E-56
452,2.70E-22,0.02659916,2.29E-06,3.13E-36,8.20E-60,7.28E-75,5.34E-57,2.03E-74,4.79E-56
453,8.59E-23,0.026299843,2.95E-06,1.01E-35,3.79E-59,3.05E-74,1.22E-56,5.26E-74,8.06E-56
454,2.70E-23,0.025886448,3.78E-06,3.26E-35,1.74E-58,1.27E-73,2.79E-56,1.36E-73,1.35E-55
455,8.36E-24,0.025364474,4.82E-06,1.04E-34,7.88E-58,5.25E-73,6.36E-56,3.50E-73,2.27E-55
456,2.56E-24,0.024740779,6.13E-06,3.27E-34,3.54E-57,2.16E-72,1.44E-55,8.99E-73,3.81E-55
457,7.71E-25,0.024023426,7.78E-06,1.02E-33,1.58E-56,8.83E-72,3.27E-55,2.30E-72,6.37E-55
458,2.29E-25,0.023221519,9.83E-06,3.17E-33,6.99E-56,3.59E-71,7.38E-55,5.88E-72,1.07E-54
459,6.72E-26,0.022345001,1.24E-05,9.74E-33,3.06E-55,1.45E-70,1.66E-54,1.50E-71,1.78E-54
460,1.94E-26,0.021404458,1.55E-05,2.96E-32,1.33E-54,5.81E-70,3.73E-54,3.81E-71,2.97E-54
461,5.54E-27,0.020410901,1.94E-05,8.95E-32,5.72E-54,2.32E-69,8.36E-54,9.65E-71,4.95E-54
462,1.56E-27,0.019375558,2.42E-05,2.68E-31,2.44E-53,9.18E-69,1.87E-53,2.44E-70,8.25E-54
463,4.32E-28,0.018309662,3.01E-05,7.93E-31,1.03E-52,3.62E-68,4.16E-53,6.14E-70,1.37E-53
464,1.18E-28,0.017224259,3.72E-05,2.33E-30,4.32E-52,1.42E-67,9.25E-53,1.54E-69,2.28E-53
465,3.19E-29,0.016130018,4.59E-05,6.79E-30,1.80E-51,5.51E-67,2.05E-52,3.87E-69,3.78E-53
466,8.49E-30,0.015037071,5.64E-05,1.96E-29,7.39E-51,2.13E-66,4.53E-52,9.67E-69,6.27E-53
467,2.23E-30,0.013954868,6.90E-05,5.61E-29,3.02E-50,8.18E-66,9.97E-52,2.41E-68,1.04E-52
468,5.77E-31,0.012892059,8.43E-05,1.59E-28,1.22E-49,3.13E-65,2.19E-51,5.99E-68,1.72E-52
469,1.47E-31,0.011856403,0.000102502,4.47E-28,4.89E-49,1.19E-64,4.80E-51,1.48E-67,2.84E-52
470,3.71E-32,0.010854697,0.000124242,1.25E-27,1.94E-48,4.48E-64,1.05E-50,3.67E-67,4.68E-52
471,9.20E-33,0.009892739,0.000150072,3.44E-27,7.65E-48,1.68E-63,2.29E-50,9.05E-67,7.72E-52
472,2.25E-33,0.008975311,0.000180644,9.42E-27,2.99E-47,6.25E-63,4.97E-50,2.22E-66,1.27E-51
473,5.44E-34,0.008106185,0.000216693,2.56E-26,1.16E-46,2.32E-62,1.08E-49,5.45E-66,2.09E-51
474,1.30E-34,0.007288155,0.000259036,6.88E-26,4.43E-46,8.52E-62,2.33E-49,1.33E-65,3.44E-51
475,3.04E-35,0.006523082,0.000308582,1.83E-25,1.69E-45,3.12E-61,5.02E-49,3.25E-65,5.64E-51
476,7.05E-36,0.005811953,0.000366332,4.84E-25,6.35E-45,1.13E-60,1.08E-48,7.91E-65,9.25E-51
477,1.61E-36,0.005154962,0.000433386,1.27E-24,2.37E-44,4.10E-60,2.31E-48,1.92E-64,1.51E-50
478,3.63E-37,0.004551588,0.00051094,3.29E-24,8.77E-44,1.47E-59,4.95E-48,4.64E-64,2.48E-50
479,8.06E-38,0.004000686,0.000600287,8.47E-24,3.22E-43,5.25E-59,1.06E-47,1.12E-63,4.05E-50
480,1.77E-38,0.003500581,0.000702819,2.16E-23,1.17E-42,1.86E-58,2.24E-47,2.69E-63,6.61E-50
481,3.82E-39,0.003049158,0.000820017,5.46E-23,4.22E-42,6.57E-58,4.76E-47,6.45E-63,1.08E-49
482,8.14E-40,0.002643953,0.000953447,1.37E-22,1.51E-41,2.30E-57,1.01E-46,1.54E-62,1.76E-49
483,1.71E-40,0.002282242,0.001104754,3.39E-22,5.33E-41,8.01E-57,2.12E-46,3.68E-62,2.86E-49
484,3.55E-41,0.001961118,0.001275643,8.35E-22,1.87E-40,2.77E-56,4.46E-46,8.76E-62,4.64E-49
485,7.25E-42,0.001677567,0.001467871,2.04E-21,6.51E-40,9.53E-56,9.36E-46,2.08E-61,7.54E-49
486,1.46E-42,0.001428532,0.001683221,4.92E-21,2.25E-39,3.26E-55,1.96E-45,4.92E-61,1.22E-48
487,2.91E-43,0.001210972,0.001923488,1.18E-20,7.67E-39,1.11E-54,4.08E-45,1.16E-60,1.98E-48
488,5.71E-44,0.00102191,0.002190446,2.80E-20,2.60E-38,3.74E-54,8.50E-45,2.73E-60,3.20E-48
489,1.10E-44,0.00085847,0.002485825,6.60E-20,8.72E-38,1.25E-53,1.76E-44,6.41E-60,5.18E-48
490,2.11E-45,0.000717913,0.002811276,1.54E-19,2.90E-37,4.18E-53,3.65E-44,1.50E-59,8.36E-48
491,3.96E-46,0.000597657,0.003168335,3.56E-19,9.57E-37,1.39E-52,7.53E-44,3.50E-59,1.35E-47
492,7.35E-47,0.000495298,0.003558391,8.16E-19,3.13E-36,4.57E-52,1.55E-43,8.15E-59,2.17E-47
493,1.35E-47,0.000408616,0.00398264,1.85E-18,1.01E-35,1.50E-51,3.18E-43,1.89E-58,3.50E-47
494,2.43E-48,0.000335582,0.004442048,4.18E-18,3.26E-35,4.87E-51,6.50E-43,4.38E-58,5.62E-47
495,4.32E-49,0.000274357,0.004937309,9.32E-18,1.04E-34,1.57E-50,1.33E-42,1.01E-57,9.02E-47
496,7.59E-50,0.000223289,0.005468802,2.06E-17,3.27E-34,5.06E-50,2.70E-42,2.33E-57,1.45E-46
497,1.31E-50,0.000180906,0.006036553,4.52E-17,1.02E-33,1.62E-49,5.48E-42,5.34E-57,2.32E-46
498,2.24E-51,0.000145905,0.006640192,9.83E-17,3.17E-33,5.13E-49,1.11E-41,1.22E-56,3.71E-46
499,3.78E-52,0.000117145,0.007278923,2.12E-16,9.74E-33,1.62E-48,2.24E-41,2.79E-56,5.93E-46
500,6.28E-53,9.36E-05,0.007951488,4.52E-16,2.96E-32,5.08E-48,4.51E-41,6.36E-56,9.47E-46
501,1.03E-53,7.45E-05,0.008656147,9.57E-16,8.95E-32,1.58E-47,9.05E-41,1.44E-55,1.51E-45
502,1.66E-54,5.90E-05,0.009390649,2.01E-15,2.68E-31,4.90E-47,1.81E-40,3.27E-55,2.41E-45
503,2.65E-55,4.65E-05,0.010152231,4.17E-15,7.93E-31,1.51E-46,3.62E-40,7.38E-55,3.83E-45
504,4.16E-56,3.65E-05,0.010937605,8.60E-15,2.33E-30,4.62E-46,7.20E-40,1.66E-54,6.09E-45
505,6.44E-57,2.85E-05,0.011742966,1.76E-14,6.79E-30,1.40E-45,1.43E-39,3.73E-54,9.68E-45
506,9.85E-58,2.22E-05,0.012564009,3.56E-14,1.96E-29,4.24E-45,2.83E-39,8.36E-54,1.54E-44
507,1.48E-58,1.72E-05,0.01339595,7.14E-14,5.61E-29,1.27E-44,5.59E-39,1.87E-53,2.43E-44
508,2.21E-59,1.32E-05,0.014233563,1.42E-13,1.59E-28,3.80E-44,1.10E-38,4.16E-53,3.85E-44
509,3.23E-60,1.02E-05,0.015071227,2.80E-13,4.47E-28,1.13E-43,2.16E-38,9.25E-53,6.09E-44
510,4.68E-61,7.77E-06,0.015902977,5.47E-13,1.25E-27,3.33E-43,4.24E-38,2.05E-52,9.62E-44
511,6.67E-62,5.91E-06,0.016722573,1.06E-12,3.44E-27,9.75E-43,8.28E-38,4.53E-52,1.52E-43
512,9.38E-63,4.47E-06,0.017523572,2.03E-12,9.42E-27,2.84E-42,1.61E-37,9.97E-52,2.39E-43
513,1.30E-63,3.37E-06,0.018299406,3.87E-12,2.56E-26,8.22E-42,3.13E-37,2.19E-51,3.76E-43
514,1.78E-64,2.53E-06,0.019043476,7.29E-12,6.88E-26,2.37E-41,6.07E-37,4.80E-51,5.92E-43
515,2.40E-65,1.89E-06,0.019749236,1.36E-11,1.83E-25,6.76E-41,1.17E-36,1.05E-50,9.30E-43
516,3.19E-66,1.40E-06,0.020410292,2.53E-11,4.84E-25,1.92E-40,2.26E-36,2.29E-50,1.46E-42
517,4.19E-67,1.04E-06,0.021020498,4.64E-11,1.27E-24,5.43E-40,4.34E-36,4.97E-50,2.29E-42
518,5.42E-68,7.65E-07,0.021574047,8.44E-11,3.29E-24,1.52E-39,8.32E-36,1.08E-49,3.58E-42
519,6.92E-69,5.61E-07,0.022065567,1.52E-10,8.47E-24,4.25E-39,1.59E-35,2.33E-49,5.60E-42
520,8.71E-70,4.10E-07,0.022490206,2.72E-10,2.16E-23,1.18E-38,3.03E-35,5.02E-49,8.74E-42
521,1.08E-70,2.98E-07,0.022843708,4.83E-10,5.46E-23,3.25E-38,5.76E-35,1.08E-48,1.36E-41
522,1.32E-71,2.15E-07,0.023122491,8.48E-10,1.37E-22,8.89E-38,1.09E-34,2.31E-48,2.13E-41
523,1.60E-72,1.55E-07,0.023323703,1.48E-09,3.39E-22,2.42E-37,2.06E-34,4.95E-48,3.31E-41
524,1.90E-73,1.11E-07,0.023445269,2.55E-09,8.35E-22,6.54E-37,3.89E-34,1.06E-47,5.15E-41
525,2.24E-74,7.94E-08,0.023485932,4.36E-09,2.04E-21,1.76E-36,7.31E-34,2.24E-47,8.00E-41
526,2.59E-75,5.64E-08,0.023445269,7.39E-09,4.92E-21,4.70E-36,1.37E-33,4.76E-47,1.24E-40
527,2.96E-76,3.99E-08,0.023323703,1.24E-08,1.18E-20,1.25E-35,2.56E-33,1.01E-46,1.92E-40
528,3.33E-77,2.81E-08,0.023122491,2.07E-08,2.80E-20,3.29E-35,4.78E-33,2.12E-46,2.98E-40
529,3.70E-78,1.97E-08,0.022843708,3.41E-08,6.60E-20,8.64E-35,8.88E-33,4.46E-46,4.61E-40
530,4.06E-79,1.37E-08,0.022490206,5.58E-08,1.54E-19,2.25E-34,1.65E-32,9.36E-46,7.12E-40
531,4.38E-80,9.54E-09,0.022065567,9.06E-08,3.56E-19,5.83E-34,3.05E-32,1.96E-45,1.10E-39
532,4.67E-81,6.60E-09,0.021574047,1.46E-07,8.16E-19,1.50E-33,5.62E-32,4.08E-45,1.69E-39
533,4.91E-82,4.54E-09,0.021020498,2.32E-07,1.85E-18,3.84E-33,1.03E-31,8.50E-45,2.61E-39
534,5.09E-83,3.11E-09,0.020410292,3.66E-07,4.18E-18,9.77E-33,1.89E-31,1.76E-44,4.01E-39
535,5.21E-84,2.12E-09,0.019749236,5.73E-07,9.32E-18,2.47E-32,3.46E-31,3.65E-44,6.17E-39
536,5.25E-85,1.44E-09,0.019043476,8.90E-07,2.06E-17,6.21E-32,6.32E-31,7.53E-44,9.47E-39
537,5.22E-86,9.75E-10,0.018299406,1.37E-06,4.52E-17,1.55E-31,1.15E-30,1.55E-43,1.45E-38
538,5.12E-87,6.56E-10,0.017523572,2.08E-06,9.83E-17,3.84E-31,2.09E-30,3.18E-43,2.22E-38
539,4.95E-88,4.39E-10,0.016722573,3.15E-06,2.12E-16,9.48E-31,3.77E-30,6.50E-43,3.40E-38
540,4.72E-89,2.93E-10,0.015902977,4.72E-06,4.52E-16,2.32E-30,6.81E-30,1.33E-42,5.20E-38
541,4.44E-90,1.95E-10,0.015071227,7.00E-06,9.57E-16,5.66E-30,1.22E-29,2.70E-42,7.93E-38
542,4.12E-91,1.29E-10,0.014233563,1.03E-05,2.01E-15,1.37E-29,2.20E-29,5.48E-42,1.21E-37
543,3.77E-92,8.46E-11,0.01339595,1.50E-05,4.17E-15,3.30E-29,3.93E-29,1.11E-41,1.84E-37
544,3.40E-93,5.54E-11,0.012564009,2.17E-05,8.60E-15,7.88E-29,7.02E-29,2.24E-41,2.80E-37
545,3.03E-94,3.61E-11,0.011742966,3.11E-05,1.76E-14,1.87E-28,1.25E-28,4.51E-41,4.26E-37
546,2.66E-95,2.34E-11,0.010937605,4.41E-05,3.56E-14,4.43E-28,2.22E-28,9.05E-41,6.47E-37
547,2.30E-96,1.51E-11,0.010152231,6.21E-05,7.14E-14,1.04E-27,3.92E-28,1.81E-40,9.81E-37
548,1.97E-97,9.74E-12,0.009390649,8.66E-05,1.42E-13,2.42E-27,6.93E-28,3.62E-40,1.49E-36
549,1.66E-98,6.24E-12,0.008656147,0.000119692,2.80E-13,5.62E-27,1.22E-27,7.20E-40,2.25E-36
550,1.37E-99,3.97E-12,0.007951488,0.000164003,5.47E-13,1.30E-26,2.14E-27,1.43E-39,3.40E-36
551,1.13E-100,2.52E-12,0.007278923,0.000222734,1.06E-12,2.97E-26,3.75E-27,2.83E-39,5.13E-36
552,9.09E-102,1.59E-12,0.006640192,0.000299826,2.03E-12,6.75E-26,6.54E-27,5.59E-39,7.74E-36
553,7.24E-103,1.00E-12,0.006036553,0.000400035,3.87E-12,1.53E-25,1.14E-26,1.10E-38,1.17E-35
554,5.69E-104,6.27E-13,0.005468802,0.000529021,7.29E-12,3.43E-25,1.98E-26,2.16E-38,1.75E-35
555,4.41E-105,3.91E-13,0.004937309,0.000693418,1.36E-11,7.67E-25,3.42E-26,4.24E-38,2.64E-35
556,3.37E-106,2.42E-13,0.004442048,0.000900874,2.53E-11,1.70E-24,5.91E-26,8.28E-38,3.96E-35
557,2.54E-107,1.50E-13,0.00398264,0.001160058,4.64E-11,3.76E-24,1.02E-25,1.61E-37,5.94E-35
558,1.89E-108,9.20E-14,0.003558391,0.001480615,8.44E-11,8.25E-24,1.75E-25,3.13E-37,8.89E-35
559,1.38E-109,5.63E-14,0.003168335,0.00187306,1.52E-10,1.80E-23,3.00E-25,6.07E-37,1.33E-34
560,1.00E-110,3.43E-14,0.002811276,0.002348593,2.72E-10,3.90E-23,5.12E-25,1.17E-36,1.99E-34
561,7.13E-112,2.08E-14,0.002485825,0.002918843,4.83E-10,8.40E-23,8.72E-25,2.26E-36,2.97E-34
562,5.01E-113,1.25E-14,0.002190446,0.003595511,8.48E-10,1.80E-22,1.48E-24,4.34E-36,4.43E-34
563,3.48E-114,7.54E-15,0.001923488,0.004389927,1.48E-09,3.82E-22,2.51E-24,8.32E-36,6.60E-34
564,2.38E-115,4.51E-15,0.001683221,0.005312522,2.55E-09,8.08E-22,4.24E-24,1.59E-35,9.83E-34
565,1.60E-116,2.69E-15,0.001467871,0.006372223,4.36E-09,1.70E-21,7.14E-24,3.03E-35,1.46E-33
566,1.07E-117,1.59E-15,0.001275643,0.007575793,7.39E-09,3.54E-21,1.20E-23,5.76E-35,2.17E-33
567,7.00E-119,9.40E-16,0.001104754,0.008927133,1.24E-08,7.36E-21,2.01E-23,1.09E-34,3.22E-33
568,4.53E-120,5.52E-16,0.000953447,0.0104266,2.07E-08,1.52E-20,3.36E-23,2.06E-34,4.77E-33
569,2.89E-121,3.23E-16,0.000820017,0.01207036,3.41E-08,3.11E-20,5.60E-23,3.89E-34,7.06E-33
570,1.82E-122,1.88E-16,0.000702819,0.013849835,5.58E-08,6.34E-20,9.30E-23,7.31E-34,1.04E-32
571,1.13E-123,1.09E-16,0.000600287,0.015751276,9.06E-08,1.28E-19,1.54E-22,1.37E-33,1.54E-32
572,6.91E-125,6.29E-17,0.00051094,0.017755534,1.46E-07,2.58E-19,2.55E-22,2.56E-33,2.27E-32
573,4.17E-126,3.61E-17,0.000433386,0.01983803,2.32E-07,5.16E-19,4.20E-22,4.78E-33,3.35E-32
574,2.48E-127,2.06E-17,0.000366332,0.021968993,3.66E-07,1.03E-18,6.90E-22,8.88E-33,4.93E-32
575,1.46E-128,1.18E-17,0.000308582,0.024113963,5.73E-07,2.03E-18,1.13E-21,1.65E-32,7.25E-32
576,8.45E-130,6.66E-18,0.000259036,0.026234563,8.90E-07,3.98E-18,1.85E-21,3.05E-32,1.07E-31
577,4.82E-131,3.76E-18,0.000216693,0.028289541,1.37E-06,7.77E-18,3.02E-21,5.62E-32,1.56E-31
578,2.72E-132,2.11E-18,0.000180644,0.03023603,2.08E-06,1.51E-17,4.90E-21,1.03E-31,2.29E-31
579,1.51E-133,1.18E-18,0.000150072,0.032030998,3.15E-06,2.90E-17,7.95E-21,1.89E-31,3.35E-31
580,8.27E-135,6.56E-19,0.000124242,0.033632797,4.72E-06,5.56E-17,1.29E-20,3.46E-31,4.91E-31
581,4.47E-136,3.63E-19,0.000102502,0.035002762,7.00E-06,1.06E-16,2.07E-20,6.32E-31,7.17E-31
582,2.38E-137,2.00E-19,8.43E-05,0.036106755,1.03E-05,2.00E-16,3.33E-20,1.15E-30,1.05E-30
583,1.25E-138,1.10E-19,6.90E-05,0.036916576,1.50E-05,3.77E-16,5.35E-20,2.09E-30,1.52E-30
584,6.49E-140,6.01E-20,5.64E-05,0.037411161,2.17E-05,7.04E-16,8.55E-20,3.77E-30,2.22E-30
