Model: , Shkurtov mixing model of optical constants,,,,,,,
Timestamp: ,9/20/2022 10:14,,,,,,,
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Ammonia,NH3,100,100,77-88K,0.4-5.2 micron,"Martonchik, 1984",https://doi.org/10.1364/AO.23.000541
,,,,,,,,
wave,Ammonia,,,,,,,
0.576,0.380372417,,,,,,,
0.577,0.38024296,,,,,,,
0.578,0.380114028,,,,,,,
0.579,0.379985619,,,,,,,
0.58,0.379857728,,,,,,,
0.581,0.379730354,,,,,,,
0.582,0.379603493,,,,,,,
0.583,0.37947714,,,,,,,
0.584,0.379351294,,,,,,,
0.585,0.379225952,,,,,,,
0.586,0.379101109,,,,,,,
0.587,0.378976763,,,,,,,
0.588,0.378852911,,,,,,,
0.589,0.37872955,,,,,,,
0.59,0.378606676,,,,,,,
0.591,0.378484287,,,,,,,
0.592,0.37836238,,,,,,,
0.593,0.378240952,,,,,,,
0.594,0.378119999,,,,,,,
0.595,0.37799952,,,,,,,
0.596,0.37787951,,,,,,,
0.597,0.377759968,,,,,,,
0.598,0.37764089,,,,,,,
0.599,0.377522274,,,,,,,
0.6,0.377404116,,,,,,,
0.601,0.377286414,,,,,,,
0.602,0.377169166,,,,,,,
0.603,0.377052368,,,,,,,
0.604,0.376936018,,,,,,,
0.605,0.376820112,,,,,,,
0.606,0.37670465,,,,,,,
0.607,0.376589627,,,,,,,
0.608,0.376475041,,,,,,,
0.609,0.37636089,,,,,,,
0.61,0.376247171,,,,,,,
0.611,0.376133881,,,,,,,
0.612,0.376021018,,,,,,,
0.613,0.375908579,,,,,,,
0.614,0.375796563,,,,,,,
0.615,0.375684965,,,,,,,
0.616,0.375573785,,,,,,,
0.617,0.375463019,,,,,,,
0.618,0.375352665,,,,,,,
0.619,0.37524272,,,,,,,
0.62,0.375133183,,,,,,,
0.621,0.375024051,,,,,,,
0.622,0.374915321,,,,,,,
0.623,0.374806992,,,,,,,
0.624,0.37469906,,,,,,,
0.625,0.374591524,,,,,,,
0.626,0.374484381,,,,,,,
0.627,0.374377629,,,,,,,
0.628,0.374271266,,,,,,,
0.629,0.37416529,,,,,,,
0.63,0.374059697,,,,,,,
0.631,0.373954487,,,,,,,
0.632,0.373849657,,,,,,,
0.633,0.373745205,,,,,,,
0.634,0.373641128,,,,,,,
0.635,0.373537425,,,,,,,
0.636,0.373434093,,,,,,,
0.637,0.37333113,,,,,,,
0.638,0.373228535,,,,,,,
0.639,0.373126304,,,,,,,
0.64,0.373024437,,,,,,,
0.641,0.372922931,,,,,,,
0.642,0.372821784,,,,,,,
0.643,0.372720993,,,,,,,
0.644,0.372620558,,,,,,,
0.645,0.372520476,,,,,,,
0.646,0.372420744,,,,,,,
0.647,0.372321362,,,,,,,
0.648,0.372222327,,,,,,,
0.649,0.372123638,,,,,,,
0.65,0.372025291,,,,,,,
0.651,0.371927286,,,,,,,
0.652,0.371829621,,,,,,,
0.653,0.371732293,,,,,,,
0.654,0.371635301,,,,,,,
0.655,0.371538643,,,,,,,
0.656,0.371442317,,,,,,,
0.657,0.371346321,,,,,,,
0.658,0.371250654,,,,,,,
0.659,0.371155314,,,,,,,
0.66,0.371060299,,,,,,,
0.661,0.370965607,,,,,,,
0.662,0.370871236,,,,,,,
0.663,0.370777185,,,,,,,
0.664,0.370683452,,,,,,,
0.665,0.370590035,,,,,,,
0.666,0.370496933,,,,,,,
0.667,0.370404144,,,,,,,
0.668,0.370388729,,,,,,,
0.669,0.370556336,,,,,,,
0.67,0.370723593,,,,,,,
0.671,0.3708905,,,,,,,
0.672,0.371057058,,,,,,,
0.673,0.37122327,,,,,,,
0.674,0.371389135,,,,,,,
0.675,0.371554656,,,,,,,
0.676,0.371719833,,,,,,,
0.677,0.371884667,,,,,,,
0.678,0.372049159,,,,,,,
0.679,0.372213311,,,,,,,
0.68,0.372377123,,,,,,,
0.681,0.372540597,,,,,,,
0.682,0.372703733,,,,,,,
0.683,0.372866534,,,,,,,
0.684,0.373028999,,,,,,,
0.685,0.37319113,,,,,,,
0.686,0.373352928,,,,,,,
0.687,0.373514394,,,,,,,
0.688,0.373675529,,,,,,,
0.689,0.373836334,,,,,,,
0.69,0.37399681,,,,,,,
0.691,0.374156959,,,,,,,
0.692,0.37431678,,,,,,,
0.693,0.374476276,,,,,,,
0.694,0.374635447,,,,,,,
0.695,0.374794295,,,,,,,
0.696,0.374952819,,,,,,,
0.697,0.375111022,,,,,,,
0.698,0.375268905,,,,,,,
0.699,0.375426467,,,,,,,
0.7,0.375583711,,,,,,,
0.701,0.375740637,,,,,,,
0.702,0.375897247,,,,,,,
0.703,0.37605354,,,,,,,
0.704,0.376209519,,,,,,,
0.705,0.376365185,,,,,,,
0.706,0.376520537,,,,,,,
0.707,0.376675578,,,,,,,
0.708,0.376830307,,,,,,,
0.709,0.376984727,,,,,,,
0.71,0.377138838,,,,,,,
0.711,0.377292641,,,,,,,
0.712,0.377446136,,,,,,,
0.713,0.377599326,,,,,,,
0.714,0.37775221,,,,,,,
0.715,0.37790479,,,,,,,
0.716,0.378057067,,,,,,,
0.717,0.378209042,,,,,,,
0.718,0.378360715,,,,,,,
0.719,0.378512087,,,,,,,
0.72,0.37866316,,,,,,,
0.721,0.378813934,,,,,,,
0.722,0.378964411,,,,,,,
0.723,0.37911459,,,,,,,
0.724,0.379264474,,,,,,,
0.725,0.379414062,,,,,,,
0.726,0.379563356,,,,,,,
0.727,0.379712357,,,,,,,
0.728,0.379861065,,,,,,,
0.729,0.380009482,,,,,,,
0.73,0.380157608,,,,,,,
0.731,0.380305445,,,,,,,
0.732,0.380452992,,,,,,,
0.733,0.380600252,,,,,,,
0.734,0.380747224,,,,,,,
0.735,0.38089391,,,,,,,
0.736,0.38104031,,,,,,,
0.737,0.381186426,,,,,,,
0.738,0.381332258,,,,,,,
0.739,0.381477807,,,,,,,
0.74,0.381623074,,,,,,,
0.741,0.38176806,,,,,,,
0.742,0.381912765,,,,,,,
0.743,0.382057191,,,,,,,
0.744,0.382201338,,,,,,,
0.745,0.382345207,,,,,,,
0.746,0.3824888,,,,,,,
0.747,0.382632115,,,,,,,
0.748,0.382775156,,,,,,,
0.749,0.382917922,,,,,,,
0.75,0.383060414,,,,,,,
0.751,0.383202633,,,,,,,
0.752,0.383344579,,,,,,,
0.753,0.383486255,,,,,,,
0.754,0.383627659,,,,,,,
0.755,0.383768794,,,,,,,
0.756,0.38390966,,,,,,,
0.757,0.384050258,,,,,,,
0.758,0.384190588,,,,,,,
0.759,0.384330651,,,,,,,
0.76,0.384470449,,,,,,,
0.761,0.384609981,,,,,,,
0.762,0.384749249,,,,,,,
0.763,0.384888254,,,,,,,
0.764,0.385026995,,,,,,,
0.765,0.385165475,,,,,,,
0.766,0.385303693,,,,,,,
0.767,0.385441651,,,,,,,
0.768,0.385579349,,,,,,,
0.769,0.385716788,,,,,,,
0.77,0.385853969,,,,,,,
0.771,0.385990892,,,,,,,
0.772,0.386127558,,,,,,,
0.773,0.386263969,,,,,,,
0.774,0.386400124,,,,,,,
0.775,0.386536024,,,,,,,
0.776,0.386671671,,,,,,,
0.777,0.386807064,,,,,,,
0.778,0.386942205,,,,,,,
0.779,0.387077094,,,,,,,
0.78,0.387211733,,,,,,,
0.781,0.387346121,,,,,,,
0.782,0.387480259,,,,,,,
0.783,0.387614149,,,,,,,
0.784,0.387747791,,,,,,,
0.785,0.387881185,,,,,,,
0.786,0.388014333,,,,,,,
0.787,0.388147234,,,,,,,
0.788,0.38827989,,,,,,,
0.789,0.388412302,,,,,,,
0.79,0.38854447,,,,,,,
0.791,0.388676394,,,,,,,
0.792,0.388808076,,,,,,,
0.793,0.388939516,,,,,,,
0.794,0.389070715,,,,,,,
0.795,0.389201673,,,,,,,
0.796,0.389332392,,,,,,,
0.797,0.389462871,,,,,,,
0.798,0.389593112,,,,,,,
0.799,0.389723115,,,,,,,
0.8,0.389852881,,,,,,,
0.801,0.38998241,,,,,,,
0.802,0.390111704,,,,,,,
0.803,0.390240762,,,,,,,
0.804,0.390369586,,,,,,,
0.805,0.390498176,,,,,,,
0.806,0.390626533,,,,,,,
0.807,0.390754657,,,,,,,
0.808,0.390882549,,,,,,,
0.809,0.391010211,,,,,,,
0.81,0.391137641,,,,,,,
0.811,0.391264841,,,,,,,
0.812,0.391391813,,,,,,,
0.813,0.391518555,,,,,,,
0.814,0.391645069,,,,,,,
0.815,0.391771356,,,,,,,
0.816,0.391897416,,,,,,,
0.817,0.39202325,,,,,,,
0.818,0.392148858,,,,,,,
0.819,0.392274241,,,,,,,
0.82,0.3923994,,,,,,,
0.821,0.392524335,,,,,,,
0.822,0.392649047,,,,,,,
0.823,0.392773537,,,,,,,
0.824,0.392897804,,,,,,,
0.825,0.39302185,,,,,,,
0.826,0.393145676,,,,,,,
0.827,0.393269282,,,,,,,
0.828,0.393392668,,,,,,,
0.829,0.393515835,,,,,,,
0.83,0.393638783,,,,,,,
0.831,0.393761514,,,,,,,
0.832,0.393884028,,,,,,,
0.833,0.394006326,,,,,,,
0.834,0.394128407,,,,,,,
0.835,0.394250273,,,,,,,
0.836,0.394371925,,,,,,,
0.837,0.394493362,,,,,,,
0.838,0.394614585,,,,,,,
0.839,0.394735596,,,,,,,
0.84,0.394856394,,,,,,,
0.841,0.39497698,,,,,,,
0.842,0.395097354,,,,,,,
0.843,0.395217518,,,,,,,
0.844,0.395337472,,,,,,,
0.845,0.395457216,,,,,,,
0.846,0.395576751,,,,,,,
0.847,0.395696077,,,,,,,
0.848,0.395815196,,,,,,,
0.849,0.395934107,,,,,,,
0.85,0.396052811,,,,,,,
0.851,0.396171309,,,,,,,
0.852,0.396289601,,,,,,,
0.853,0.396407688,,,,,,,
0.854,0.39652557,,,,,,,
0.855,0.396643249,,,,,,,
0.856,0.396760723,,,,,,,
0.857,0.396877995,,,,,,,
0.858,0.396995064,,,,,,,
0.859,0.397111931,,,,,,,
0.86,0.397228596,,,,,,,
0.861,0.397345061,,,,,,,
0.862,0.397461325,,,,,,,
0.863,0.397577389,,,,,,,
0.864,0.397693254,,,,,,,
0.865,0.397808921,,,,,,,
0.866,0.397924389,,,,,,,
0.867,0.398039659,,,,,,,
0.868,0.398154732,,,,,,,
0.869,0.398269608,,,,,,,
0.87,0.398384288,,,,,,,
0.871,0.398498772,,,,,,,
0.872,0.398613061,,,,,,,
