Model: , Shkurtov mixing model of optical constants,,,,,,,
Timestamp: ,9/20/2022 10:14,,,,,,,
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Ammonia,NH3,100,100,77-88K,0.4-5.2 micron,"Martonchik, 1984",https://doi.org/10.1364/AO.23.000541
,,,,,,,,
wave,Ammonia,,,,,,,
1.177,0.426277059,,,,,,,
1.178,0.426349109,,,,,,,
1.179,0.426421062,,,,,,,
1.18,0.426492918,,,,,,,
1.181,0.426564679,,,,,,,
1.182,0.426636344,,,,,,,
1.183,0.426707913,,,,,,,
1.184,0.426779386,,,,,,,
1.185,0.426850764,,,,,,,
1.186,0.426922047,,,,,,,
1.187,0.426993235,,,,,,,
1.188,0.427064328,,,,,,,
1.189,0.427135327,,,,,,,
1.19,0.427206231,,,,,,,
1.191,0.427277041,,,,,,,
1.192,0.427347757,,,,,,,
1.193,0.427418379,,,,,,,
1.194,0.427488907,,,,,,,
1.195,0.427559342,,,,,,,
1.196,0.427629684,,,,,,,
1.197,0.427699932,,,,,,,
1.198,0.427770088,,,,,,,
1.199,0.427840151,,,,,,,
1.2,0.427910122,,,,,,,
1.201,0.42798,,,,,,,
1.202,0.428049786,,,,,,,
1.203,0.42811948,,,,,,,
1.204,0.428189082,,,,,,,
1.205,0.428258592,,,,,,,
1.206,0.428328012,,,,,,,
1.207,0.42839734,,,,,,,
1.208,0.428466576,,,,,,,
1.209,0.428535722,,,,,,,
1.21,0.428604778,,,,,,,
1.211,0.428673742,,,,,,,
1.212,0.428742617,,,,,,,
1.213,0.428811401,,,,,,,
1.214,0.428880095,,,,,,,
1.215,0.4289487,,,,,,,
1.216,0.429017214,,,,,,,
1.217,0.42908564,,,,,,,
1.218,0.429153976,,,,,,,
1.219,0.429222223,,,,,,,
1.22,0.429290381,,,,,,,
1.221,0.42935845,,,,,,,
1.222,0.429426431,,,,,,,
1.223,0.429494323,,,,,,,
1.224,0.429562127,,,,,,,
1.225,0.429629843,,,,,,,
1.226,0.429697471,,,,,,,
1.227,0.429765012,,,,,,,
1.228,0.429832464,,,,,,,
1.229,0.42989983,,,,,,,
1.23,0.429967108,,,,,,,
1.231,0.430034299,,,,,,,
1.232,0.430101404,,,,,,,
1.233,0.430168421,,,,,,,
1.234,0.430235353,,,,,,,
1.235,0.430302197,,,,,,,
1.236,0.430368956,,,,,,,
1.237,0.430435629,,,,,,,
1.238,0.430502215,,,,,,,
1.239,0.430568717,,,,,,,
1.24,0.430635132,,,,,,,
1.241,0.430701462,,,,,,,
1.242,0.430767707,,,,,,,
1.243,0.430833867,,,,,,,
1.244,0.430899942,,,,,,,
1.245,0.430965933,,,,,,,
1.246,0.431031839,,,,,,,
1.247,0.43109766,,,,,,,
1.248,0.431163398,,,,,,,
1.249,0.431229051,,,,,,,
1.25,0.43129462,,,,,,,
1.251,0.431360106,,,,,,,
1.252,0.431425508,,,,,,,
1.253,0.431490827,,,,,,,
1.254,0.431556063,,,,,,,
1.255,0.431621215,,,,,,,
1.256,0.431686285,,,,,,,
1.257,0.431751271,,,,,,,
1.258,0.431816175,,,,,,,
1.259,0.431880997,,,,,,,
1.26,0.431945737,,,,,,,
1.261,0.432010394,,,,,,,
1.262,0.432074969,,,,,,,
1.263,0.432139463,,,,,,,
1.264,0.432203875,,,,,,,
1.265,0.432268205,,,,,,,
1.266,0.432332454,,,,,,,
1.267,0.432396622,,,,,,,
1.268,0.432460709,,,,,,,
1.269,0.432524715,,,,,,,
1.27,0.43258864,,,,,,,
1.271,0.432652485,,,,,,,
1.272,0.432716249,,,,,,,
1.273,0.432779933,,,,,,,
1.274,0.432843537,,,,,,,
1.275,0.432907061,,,,,,,
1.276,0.432970505,,,,,,,
1.277,0.433033869,,,,,,,
1.278,0.433097154,,,,,,,
1.279,0.43316036,,,,,,,
1.28,0.433223486,,,,,,,
1.281,0.433286533,,,,,,,
1.282,0.433349502,,,,,,,
1.283,0.433412391,,,,,,,
1.284,0.433475202,,,,,,,
1.285,0.433537935,,,,,,,
1.286,0.433600589,,,,,,,
1.287,0.433663165,,,,,,,
1.288,0.433725663,,,,,,,
1.289,0.433788083,,,,,,,
1.29,0.433850426,,,,,,,
1.291,0.43391269,,,,,,,
1.292,0.433974878,,,,,,,
1.293,0.434036988,,,,,,,
1.294,0.434099021,,,,,,,
1.295,0.434160977,,,,,,,
1.296,0.434222856,,,,,,,
1.297,0.434284658,,,,,,,
1.298,0.434346384,,,,,,,
1.299,0.434408033,,,,,,,
1.3,0.434469606,,,,,,,
1.301,0.434531103,,,,,,,
1.302,0.434592524,,,,,,,
1.303,0.434653869,,,,,,,
1.304,0.434715138,,,,,,,
1.305,0.434776332,,,,,,,
1.306,0.43483745,,,,,,,
1.307,0.434898493,,,,,,,
1.308,0.434959461,,,,,,,
1.309,0.435020354,,,,,,,
1.31,0.435081172,,,,,,,
1.311,0.435141915,,,,,,,
1.312,0.435202583,,,,,,,
1.313,0.435263177,,,,,,,
1.314,0.435323697,,,,,,,
1.315,0.435384143,,,,,,,
1.316,0.435444514,,,,,,,
1.317,0.435504812,,,,,,,
1.318,0.435565036,,,,,,,
1.319,0.435625186,,,,,,,
1.32,0.435685262,,,,,,,
1.321,0.435745265,,,,,,,
1.322,0.435805195,,,,,,,
1.323,0.435865052,,,,,,,
1.324,0.435924836,,,,,,,
1.325,0.435984547,,,,,,,
1.326,0.436044186,,,,,,,
1.327,0.436103751,,,,,,,
1.328,0.436163245,,,,,,,
1.329,0.436222666,,,,,,,
1.33,0.436282014,,,,,,,
1.331,0.436341291,,,,,,,
1.332,0.436400496,,,,,,,
1.333,0.436459629,,,,,,,
1.334,0.436518691,,,,,,,
1.335,0.43657768,,,,,,,
1.336,0.436636599,,,,,,,
1.337,0.436695446,,,,,,,
1.338,0.436754222,,,,,,,
1.339,0.436812927,,,,,,,
1.34,0.436871562,,,,,,,
1.341,0.436930125,,,,,,,
1.342,0.436988618,,,,,,,
1.343,0.43704704,,,,,,,
1.344,0.437105392,,,,,,,
1.345,0.437163674,,,,,,,
1.346,0.437221886,,,,,,,
1.347,0.437280027,,,,,,,
1.348,0.437338099,,,,,,,
1.349,0.437396101,,,,,,,
1.35,0.437454034,,,,,,,
1.351,0.437511897,,,,,,,
1.352,0.43756969,,,,,,,
1.353,0.437627415,,,,,,,
1.354,0.43768507,,,,,,,
1.355,0.437742657,,,,,,,
1.356,0.437800174,,,,,,,
1.357,0.437857623,,,,,,,
1.358,0.437915003,,,,,,,
1.359,0.437972315,,,,,,,
1.36,0.438029558,,,,,,,
1.361,0.438086733,,,,,,,
1.362,0.43814384,,,,,,,
1.363,0.438200879,,,,,,,
1.364,0.43825785,,,,,,,
1.365,0.438314753,,,,,,,
1.366,0.438371589,,,,,,,
1.367,0.438428357,,,,,,,
1.368,0.438485058,,,,,,,
1.369,0.438541692,,,,,,,
1.37,0.438598258,,,,,,,
1.371,0.438654757,,,,,,,
1.372,0.43871119,,,,,,,
1.373,0.438767555,,,,,,,
1.374,0.438823854,,,,,,,
1.375,0.438880087,,,,,,,
1.376,0.438936253,,,,,,,
1.377,0.438992352,,,,,,,
1.378,0.439048386,,,,,,,
1.379,0.439104353,,,,,,,
1.38,0.439160254,,,,,,,
1.381,0.43921609,,,,,,,
1.382,0.43927186,,,,,,,
1.383,0.439327564,,,,,,,
1.384,0.439383203,,,,,,,
1.385,0.439438776,,,,,,,
1.386,0.439494284,,,,,,,
1.387,0.439549727,,,,,,,
1.388,0.439605105,,,,,,,
1.389,0.439660417,,,,,,,
1.39,0.439715666,,,,,,,
1.391,0.439770849,,,,,,,
1.392,0.439825968,,,,,,,
1.393,0.439881022,,,,,,,
1.394,0.439936012,,,,,,,
1.395,0.439990938,,,,,,,
1.396,0.440045799,,,,,,,
1.397,0.440100597,,,,,,,
1.398,0.44015533,,,,,,,
1.399,0.44021,,,,,,,
1.4,0.440264606,,,,,,,
1.401,0.440319149,,,,,,,
1.402,0.440373628,,,,,,,
1.403,0.440428044,,,,,,,
1.404,0.440482396,,,,,,,
1.405,0.440536686,,,,,,,
1.406,0.440590912,,,,,,,
1.407,0.440645076,,,,,,,
1.408,0.440699176,,,,,,,
1.409,0.440753214,,,,,,,
1.41,0.44080719,,,,,,,
1.411,0.440861102,,,,,,,
1.412,0.440914953,,,,,,,
1.413,0.440968741,,,,,,,
1.414,0.441022467,,,,,,,
1.415,0.441076131,,,,,,,
1.416,0.441129734,,,,,,,
1.417,0.441183274,,,,,,,
1.418,0.441236752,,,,,,,
1.419,0.441290169,,,,,,,
1.42,0.441343525,,,,,,,
1.421,0.441396819,,,,,,,
1.422,0.441450052,,,,,,,
1.423,0.441503223,,,,,,,
1.424,0.441556334,,,,,,,
1.425,0.441609383,,,,,,,
1.426,0.441662372,,,,,,,
1.427,0.4417153,,,,,,,
1.428,0.441768167,,,,,,,
1.429,0.441820973,,,,,,,
1.43,0.441873719,,,,,,,
1.431,0.441926405,,,,,,,
1.432,0.441979031,,,,,,,
1.433,0.442031596,,,,,,,
1.434,0.442084101,,,,,,,
1.435,0.442136547,,,,,,,
1.436,0.442188932,,,,,,,
1.437,0.442241258,,,,,,,
1.438,0.442293524,,,,,,,
1.439,0.442345731,,,,,,,
1.44,0.442397878,,,,,,,
1.441,0.442449966,,,,,,,
1.442,0.442501995,,,,,,,
1.443,0.442553964,,,,,,,
1.444,0.442605875,,,,,,,
1.445,0.442657726,,,,,,,
1.446,0.442709519,,,,,,,
1.447,0.442761253,,,,,,,
1.448,0.442812928,,,,,,,
1.449,0.442864545,,,,,,,
1.45,0.442916103,,,,,,,
1.451,0.442967603,,,,,,,
1.452,0.443019045,,,,,,,
1.453,0.443070429,,,,,,,
1.454,0.443121755,,,,,,,
1.455,0.443173022,,,,,,,
1.456,0.443224232,,,,,,,
1.457,0.443275384,,,,,,,
1.458,0.443326479,,,,,,,
1.459,0.443377516,,,,,,,
1.46,0.443428495,,,,,,,
1.461,0.443479417,,,,,,,
1.462,0.443430616,,,,,,,
1.463,0.435141795,,,,,,,
1.464,0.427194358,,,,,,,
1.465,0.419563545,,,,,,,
1.466,0.412227247,,,,,,,
1.467,0.405165632,,,,,,,
1.468,0.398360838,,,,,,,
1.469,0.391796712,,,,,,,
1.47,0.385458596,,,,,,,
1.471,0.37983198,,,,,,,
1.472,0.375069403,,,,,,,
1.473,0.370430819,,,,,,,
1.474,0.365910737,,,,,,,
1.475,0.361504026,,,,,,,
1.476,0.357205877,,,,,,,
1.477,0.353011784,,,,,,,
1.478,0.348917512,,,,,,,
1.479,0.344919081,,,,,,,
1.48,0.341012742,,,,,,,
1.481,0.33719496,,,,,,,
1.482,0.333462398,,,,,,,
1.483,0.329811902,,,,,,,
1.484,0.32624049,,,,,,,
1.485,0.322745335,,,,,,,
1.486,0.319323759,,,,,,,
1.487,0.315973219,,,,,,,
1.488,0.312691301,,,,,,,
1.489,0.309475709,,,,,,,
1.49,0.306324257,,,,,,,
1.491,0.303234866,,,,,,,
1.492,0.300205552,,,,,,,
1.493,0.294862816,,,,,,,
1.494,0.287069259,,,,,,,
1.495,0.279644404,,,,,,,
1.496,0.272560693,,,,,,,
1.497,0.265793481,,,,,,,
1.498,0.259320634,,,,,,,
1.499,0.253122202,,,,,,,
1.5,0.247180139,,,,,,,
1.501,0.241478064,,,,,,,
1.502,0.236001068,,,,,,,
1.503,0.230735537,,,,,,,
1.504,0.22566901,,,,,,,
1.505,0.220790052,,,,,,,
1.506,0.216088144,,,,,,,
1.507,0.211553589,,,,,,,
1.508,0.207177428,,,,,,,
1.509,0.202951367,,,,,,,
1.51,0.198867716,,,,,,,
1.511,0.194919328,,,,,,,
1.512,0.191099553,,,,,,,
1.513,0.187402193,,,,,,,
1.514,0.18382146,,,,,,,
1.515,0.180351943,,,,,,,
1.516,0.179837384,,,,,,,
1.517,0.179839437,,,,,,,
1.518,0.179841488,,,,,,,
1.519,0.179843536,,,,,,,
1.52,0.179845581,,,,,,,
1.521,0.179847624,,,,,,,
1.522,0.179849664,,,,,,,
1.523,0.179851702,,,,,,,
1.524,0.179853736,,,,,,,
1.525,0.179855768,,,,,,,
1.526,0.179857798,,,,,,,
1.527,0.179859825,,,,,,,
1.528,0.179861849,,,,,,,
1.529,0.179863871,,,,,,,
1.53,0.17986589,,,,,,,
1.531,0.179867906,,,,,,,
1.532,0.17986992,,,,,,,
1.533,0.179871931,,,,,,,
1.534,0.17987394,,,,,,,
1.535,0.179875946,,,,,,,
1.536,0.179877949,,,,,,,
1.537,0.17987995,,,,,,,
1.538,0.179881949,,,,,,,
1.539,0.181670784,,,,,,,
1.54,0.185062793,,,,,,,
1.541,0.188551217,,,,,,,
1.542,0.19214021,,,,,,,
1.543,0.195834188,,,,,,,
1.544,0.199637849,,,,,,,
1.545,0.203556195,,,,,,,
1.546,0.207594563,,,,,,,
1.547,0.211758653,,,,,,,
1.548,0.216054563,,,,,,,
1.549,0.220488824,,,,,,,
1.55,0.225068446,,,,,,,
1.551,0.229800962,,,,,,,
1.552,0.234694486,,,,,,,
1.553,0.23975777,,,,,,,
1.554,0.245000274,,,,,,,
1.555,0.250432249,,,,,,,
1.556,0.256064822,,,,,,,
1.557,0.261910103,,,,,,,
1.558,0.267981306,,,,,,,
1.559,0.274292883,,,,,,,
1.56,0.280860694,,,,,,,
1.561,0.28770219,,,,,,,
1.562,0.29483664,,,,,,,
1.563,0.300564342,,,,,,,
1.564,0.304725319,,,,,,,
1.565,0.308986786,,,,,,,
1.566,0.313352899,,,,,,,
1.567,0.317828078,,,,,,,
1.568,0.322417031,,,,,,,
1.569,0.327124776,,,,,,,
1.57,0.331956672,,,,,,,
1.571,0.336918453,,,,,,,
1.572,0.34201626,,,,,,,
1.573,0.347256685,,,,,,,
1.574,0.352646816,,,,,,,
1.575,0.35819429,,,,,,,
1.576,0.36390735,,,,,,,
1.577,0.369794915,,,,,,,
1.578,0.375866657,,,,,,,
1.579,0.38213309,,,,,,,
1.58,0.388605676,,,,,,,
1.581,0.395296938,,,,,,,
1.582,0.402220611,,,,,,,
1.583,0.409391796,,,,,,,
1.584,0.41682716,,,,,,,
1.585,0.424545166,,,,,,,
1.586,0.432566348,,,,,,,
1.587,0.440913643,,,,,,,
1.588,0.439526296,,,,,,,
1.589,0.433978053,,,,,,,
1.59,0.428586787,,,,,,,
1.591,0.423344627,,,,,,,
1.592,0.41824429,,,,,,,
1.593,0.413279024,,,,,,,
1.594,0.408442554,,,,,,,
1.595,0.40372904,,,,,,,
1.596,0.399133035,,,,,,,
1.597,0.39464945,,,,,,,
1.598,0.390273523,,,,,,,
1.599,0.386000791,,,,,,,
1.6,0.381827066,,,,,,,
1.601,0.377748409,,,,,,,
1.602,0.373761114,,,,,,,
1.603,0.369861689,,,,,,,
1.604,0.366046837,,,,,,,
1.605,0.362313446,,,,,,,
1.606,0.358658569,,,,,,,
1.607,0.35507942,,,,,,,
1.608,0.351573353,,,,,,,
1.609,0.348137864,,,,,,,
1.61,0.344770569,,,,,,,
1.611,0.341469206,,,,,,,
1.612,0.33823162,,,,,,,
1.613,0.334751034,,,,,,,
1.614,0.328577948,,,,,,,
1.615,0.322622177,,,,,,,
1.616,0.316871169,,,,,,,
1.617,0.311313417,,,,,,,
1.618,0.305938347,,,,,,,
1.619,0.300736219,,,,,,,
1.62,0.295698038,,,,,,,
1.621,0.290815481,,,,,,,
1.622,0.286080833,,,,,,,
1.623,0.281486926,,,,,,,
1.624,0.277027087,,,,,,,
1.625,0.272695098,,,,,,,
1.626,0.268485151,,,,,,,
1.627,0.264391815,,,,,,,
1.628,0.260410002,,,,,,,
1.629,0.256534941,,,,,,,
1.63,0.25276215,,,,,,,
1.631,0.249087414,,,,,,,
1.632,0.245506764,,,,,,,
1.633,0.242016459,,,,,,,
1.634,0.238612967,,,,,,,
1.635,0.235292953,,,,,,,
1.636,0.232053261,,,,,,,
1.637,0.228890903,,,,,,,
1.638,0.225803048,,,,,,,
1.639,0.22278701,,,,,,,
1.64,0.222493351,,,,,,,
1.641,0.223610784,,,,,,,
1.642,0.224736117,,,,,,,
1.643,0.225869438,,,,,,,
1.644,0.227010836,,,,,,,
1.645,0.228160403,,,,,,,
1.646,0.229318231,,,,,,,
1.647,0.230484415,,,,,,,
1.648,0.231659048,,,,,,,
1.649,0.23284223,,,,,,,
1.65,0.234034059,,,,,,,
1.651,0.235234635,,,,,,,
1.652,0.236444061,,,,,,,
1.653,0.237662442,,,,,,,
1.654,0.238889883,,,,,,,
1.655,0.240126492,,,,,,,
1.656,0.241372379,,,,,,,
1.657,0.242627657,,,,,,,
1.658,0.243892438,,,,,,,
1.659,0.245166839,,,,,,,
1.66,0.246450978,,,,,,,
1.661,0.247744976,,,,,,,
1.662,0.249048954,,,,,,,
1.663,0.250363038,,,,,,,
1.664,0.251687355,,,,,,,
1.665,0.253022034,,,,,,,
1.666,0.254367207,,,,,,,
1.667,0.25594993,,,,,,,
1.668,0.258007147,,,,,,,
1.669,0.260090398,,,,,,,
1.67,0.262200222,,,,,,,
1.671,0.264337172,,,,,,,
1.672,0.26650182,,,,,,,
1.673,0.268694757,,,,,,,
1.674,0.27091659,,,,,,,
1.675,0.273167949,,,,,,,
1.676,0.275449483,,,,,,,
1.677,0.277761861,,,,,,,
1.678,0.280105777,,,,,,,
1.679,0.282481948,,,,,,,
1.68,0.284891113,,,,,,,
1.681,0.287334042,,,,,,,
1.682,0.289811526,,,,,,,
1.683,0.292324388,,,,,,,
1.684,0.29487348,,,,,,,
1.685,0.297459684,,,,,,,
1.686,0.300083916,,,,,,,
1.687,0.302747125,,,,,,,
1.688,0.305450298,,,,,,,
1.689,0.308194458,,,,,,,
1.69,0.310980669,,,,,,,
1.691,0.313810037,,,,,,,
1.692,0.316683712,,,,,,,
1.693,0.31960289,,,,,,,
1.694,0.32256882,,,,,,,
1.695,0.3255828,,,,,,,
1.696,0.328646184,,,,,,,
1.697,0.331760384,,,,,,,
1.698,0.334926877,,,,,,,
1.699,0.338147203,,,,,,,
1.7,0.341422972,,,,,,,
1.701,0.344755869,,,,,,,
1.702,0.34814766,,,,,,,
1.703,0.351600191,,,,,,,
1.704,0.355115402,,,,,,,
1.705,0.358695325,,,,,,,
1.706,0.362342097,,,,,,,
1.707,0.366057964,,,,,,,
1.708,0.369845289,,,,,,,
1.709,0.37370656,,,,,,,
1.71,0.377644401,,,,,,,
1.711,0.381661582,,,,,,,
1.712,0.385761028,,,,,,,
1.713,0.389945834,,,,,,,
1.714,0.394219277,,,,,,,
1.715,0.398584832,,,,,,,
1.716,0.403046188,,,,,,,
1.717,0.407607267,,,,,,,
1.718,0.412272243,,,,,,,
1.719,0.417045568,,,,,,,
1.72,0.421931995,,,,,,,
1.721,0.426936607,,,,,,,
1.722,0.43206485,,,,,,,
1.723,0.43732257,,,,,,,
1.724,0.442716055,,,,,,,
1.725,0.443471011,,,,,,,
1.726,0.443471011,,,,,,,
1.727,0.443471011,,,,,,,
1.728,0.443471011,,,,,,,
1.729,0.443471011,,,,,,,
1.73,0.443471011,,,,,,,
1.731,0.443471011,,,,,,,
1.732,0.443471011,,,,,,,
1.733,0.443471011,,,,,,,
1.734,0.443471011,,,,,,,
1.735,0.443471011,,,,,,,
1.736,0.443471011,,,,,,,
1.737,0.443471011,,,,,,,
1.738,0.443471011,,,,,,,
1.739,0.443471011,,,,,,,
1.74,0.443471011,,,,,,,
1.741,0.443471011,,,,,,,
1.742,0.443471011,,,,,,,
1.743,0.443471011,,,,,,,
1.744,0.443471011,,,,,,,
1.745,0.443471011,,,,,,,
1.746,0.443471011,,,,,,,
1.747,0.443471011,,,,,,,
1.748,0.443471011,,,,,,,
1.749,0.443471011,,,,,,,
1.75,0.443471011,,,,,,,
1.751,0.443471011,,,,,,,
1.752,0.443471011,,,,,,,
1.753,0.443471011,,,,,,,
1.754,0.443471011,,,,,,,
1.755,0.443471011,,,,,,,
1.756,0.443471011,,,,,,,
1.757,0.443471011,,,,,,,
1.758,0.443471011,,,,,,,
1.759,0.443471011,,,,,,,
1.76,0.443471011,,,,,,,
1.761,0.443471011,,,,,,,
1.762,0.443471011,,,,,,,
1.763,0.443471011,,,,,,,
1.764,0.443471011,,,,,,,
1.765,0.443471011,,,,,,,
1.766,0.443471011,,,,,,,
1.767,0.443471011,,,,,,,
1.768,0.443471011,,,,,,,
1.769,0.443471011,,,,,,,
1.77,0.443471011,,,,,,,
1.771,0.443471011,,,,,,,
1.772,0.443471011,,,,,,,
1.773,0.443471011,,,,,,,
1.774,0.443471011,,,,,,,
1.775,0.443471011,,,,,,,
1.776,0.443471011,,,,,,,
1.777,0.443471011,,,,,,,
1.778,0.443471011,,,,,,,
1.779,0.443471011,,,,,,,
1.78,0.443471011,,,,,,,
1.781,0.443471011,,,,,,,
1.782,0.443471011,,,,,,,
1.783,0.443471011,,,,,,,
1.784,0.443471011,,,,,,,
1.785,0.443471011,,,,,,,
1.786,0.442500852,,,,,,,
1.787,0.43914418,,,,,,,
1.788,0.435846528,,,,,,,
1.789,0.432606043,,,,,,,
1.79,0.429420964,,,,,,,
1.791,0.426289607,,,,,,,
1.792,0.423210368,,,,,,,
1.793,0.420181714,,,,,,,
1.794,0.417202179,,,,,,,
1.795,0.414270361,,,,,,,
1.796,0.411384918,,,,,,,
1.797,0.408544566,,,,,,,
1.798,0.405748071,,,,,,,
1.799,0.402994253,,,,,,,
1.8,0.400281976,,,,,,,
1.801,0.397610152,,,,,,,
1.802,0.394977733,,,,,,,
1.803,0.392383713,,,,,,,
1.804,0.389827125,,,,,,,
1.805,0.387307036,,,,,,,
1.806,0.384822549,,,,,,,
1.807,0.3823728,,,,,,,
1.808,0.379956955,,,,,,,
1.809,0.377574211,,,,,,,
1.81,0.375223791,,,,,,,
1.811,0.372904949,,,,,,,
1.812,0.37061696,,,,,,,
1.813,0.368359126,,,,,,,
1.814,0.366130772,,,,,,,
1.815,0.363931246,,,,,,,
1.816,0.361759916,,,,,,,
1.817,0.359616172,,,,,,,
1.818,0.357499421,,,,,,,
1.819,0.355972651,,,,,,,
1.82,0.354584538,,,,,,,
1.821,0.353208404,,,,,,,
1.822,0.351844077,,,,,,,
1.823,0.350491387,,,,,,,
1.824,0.34915017,,,,,,,
1.825,0.347820264,,,,,,,
1.826,0.346501509,,,,,,,
1.827,0.345193752,,,,,,,
1.828,0.34389684,,,,,,,
1.829,0.342610624,,,,,,,
1.83,0.341334959,,,,,,,
1.831,0.3400697,,,,,,,
1.832,0.338814708,,,,,,,
1.833,0.337569845,,,,,,,
1.834,0.336334977,,,,,,,
1.835,0.335109972,,,,,,,
1.836,0.333894699,,,,,,,
1.837,0.332689031,,,,,,,
1.838,0.331492845,,,,,,,
1.839,0.330306017,,,,,,,
1.84,0.329128427,,,,,,,
1.841,0.327959957,,,,,,,
1.842,0.326800493,,,,,,,
1.843,0.325649919,,,,,,,
1.844,0.324508126,,,,,,,
1.845,0.323375002,,,,,,,
1.846,0.322250442,,,,,,,
1.847,0.321134339,,,,,,,
1.848,0.320026589,,,,,,,
1.849,0.318927091,,,,,,,
1.85,0.317835746,,,,,,,
1.851,0.316752453,,,,,,,
1.852,0.315361554,,,,,,,
1.853,0.312195456,,,,,,,
1.854,0.309090515,,,,,,,
1.855,0.306044803,,,,,,,
1.856,0.303056477,,,,,,,
1.857,0.30012378,,,,,,,
1.858,0.297245031,,,,,,,
1.859,0.294418623,,,,,,,
1.86,0.291643017,,,,,,,
1.861,0.288916742,,,,,,,
1.862,0.286238386,,,,,,,
1.863,0.283606595,,,,,,,
1.864,0.281020073,,,,,,,
1.865,0.278477573,,,,,,,
1.866,0.275977898,,,,,,,
1.867,0.273519898,,,,,,,
1.868,0.271102467,,,,,,,
1.869,0.268724543,,,,,,,
1.87,0.2663851,,,,,,,
1.871,0.264083154,,,,,,,
1.872,0.261817754,,,,,,,
1.873,0.259587985,,,,,,,
1.874,0.257392964,,,,,,,
1.875,0.255231841,,,,,,,
1.876,0.253103793,,,,,,,
1.877,0.251008026,,,,,,,
1.878,0.248943775,,,,,,,
1.879,0.246910299,,,,,,,
1.88,0.244906882,,,,,,,
1.881,0.242932832,,,,,,,
1.882,0.240987479,,,,,,,
1.883,0.239070176,,,,,,,
1.884,0.237180296,,,,,,,
1.885,0.23531723,,,,,,,
1.886,0.233480391,,,,,,,
1.887,0.231233762,,,,,,,
1.888,0.227401798,,,,,,,
1.889,0.223677632,,,,,,,
1.89,0.220056637,,,,,,,
1.891,0.216534466,,,,,,,
1.892,0.21310703,,,,,,,
1.893,0.209770472,,,,,,,
1.894,0.20652116,,,,,,,
1.895,0.203355659,,,,,,,
1.896,0.200270725,,,,,,,
1.897,0.19726329,,,,,,,
1.898,0.194330446,,,,,,,
1.899,0.191469436,,,,,,,
1.9,0.188677647,,,,,,,
1.901,0.185952595,,,,,,,
1.902,0.18329192,,,,,,,
1.903,0.180693377,,,,,,,
1.904,0.178154831,,,,,,,
1.905,0.175674246,,,,,,,
1.906,0.17324968,,,,,,,
1.907,0.170879284,,,,,,,
1.908,0.168561289,,,,,,,
1.909,0.166294009,,,,,,,
1.91,0.164075829,,,,,,,
1.911,0.161905206,,,,,,,
1.912,0.159780663,,,,,,,
1.913,0.157700786,,,,,,,
1.914,0.15566422,,,,,,,
1.915,0.153669665,,,,,,,
1.916,0.151715876,,,,,,,
1.917,0.149801656,,,,,,,
1.918,0.147925859,,,,,,,
1.919,0.146087379,,,,,,,
1.92,0.144285159,,,,,,,
1.921,0.142518178,,,,,,,
1.922,0.140785456,,,,,,,
1.923,0.13908605,,,,,,,
1.924,0.139194673,,,,,,,
1.925,0.139452936,,,,,,,
1.926,0.139711656,,,,,,,
1.927,0.139970835,,,,,,,
1.928,0.140230472,,,,,,,
1.929,0.140490569,,,,,,,
1.93,0.140751127,,,,,,,
1.931,0.141012147,,,,,,,
1.932,0.14127363,,,,,,,
1.933,0.141535578,,,,,,,
1.934,0.141797991,,,,,,,
1.935,0.14206087,,,,,,,
1.936,0.142324217,,,,,,,
1.937,0.142588032,,,,,,,
1.938,0.142852317,,,,,,,
1.939,0.143117073,,,,,,,
1.94,0.1433823,,,,,,,
1.941,0.143648001,,,,,,,
1.942,0.143914175,,,,,,,
1.943,0.144180825,,,,,,,
1.944,0.144447951,,,,,,,
1.945,0.144715554,,,,,,,
1.946,0.144983636,,,,,,,
1.947,0.145252198,,,,,,,
1.948,0.14552124,,,,,,,
1.949,0.145790764,,,,,,,
1.95,0.146060772,,,,,,,
1.951,0.146331263,,,,,,,
1.952,0.14660224,,,,,,,
1.953,0.146873703,,,,,,,
1.954,0.147145654,,,,,,,
1.955,0.147418094,,,,,,,
1.956,0.147691024,,,,,,,
1.957,0.147964446,,,,,,,
1.958,0.148238359,,,,,,,
1.959,0.148512766,,,,,,,
1.96,0.148787668,,,,,,,
1.961,0.138754663,,,,,,,
1.962,0.102692956,,,,,,,
1.963,0.078909128,,,,,,,
1.964,0.062398135,,,,,,,
1.965,0.050526284,,,,,,,
1.966,0.04176813,,,,,,,
1.967,0.035179011,,,,,,,
1.968,0.030144306,,,,,,,
1.969,0.026248668,,,,,,,
1.97,0.023202855,,,,,,,
1.971,0.020800497,,,,,,,
1.972,0.018891372,,,,,,,
1.973,0.017364288,,,,,,,
1.974,0.016135771,,,,,,,
1.975,0.015142391,,,,,,,
1.976,0.014335447,,,,,,,
1.977,0.013677206,,,,,,,
1.978,0.013138198,,,,,,,
1.979,0.012695248,,,,,,,
1.98,0.012330016,,,,,,,
1.981,0.012027908,,,,,,,
1.982,0.011777255,,,,,,,
1.983,0.011568683,,,,,,,
1.984,0.011394631,,,,,,,
1.985,0.01124898,,,,,,,
1.986,0.011126758,,,,,,,
1.987,0.011023914,,,,,,,
1.988,0.010937139,,,,,,,
