Model: , Shkurtov mixing model of optical constants
Timestamp: ,2022-09-20 10:59:08
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Tholin Tagish Lake 15 micron,See paper,100,100.0,293K,0.3-25 micron,"Roush, 2010",https://doi.org/10.1111/j.1945-5100.2003.tb00277.x

wave,Tholin Tagish Lake 15 micron
0.4,0.006869881298229075
0.401,0.006869881298229075
0.402,0.006869881298229075
0.40299999999999997,0.006869881298229075
0.40399999999999997,0.006869881298229075
0.405,0.0068698812982432855
0.406,0.0068698812982432855
0.407,0.0068698812982432855
0.408,0.0068698812982432855
0.409,0.0068698812982432855
0.41,0.0068698812982432855
0.411,0.0068698812982432855
0.412,0.006869881298257496
0.413,0.006869881298257496
0.414,0.006869881298257496
0.415,0.006869881298257496
0.416,0.006869881298257496
0.417,0.006869881298257496
0.418,0.006869881298271707
0.419,0.006869881298271707
0.42,0.006869881298271707
0.421,0.006869881298285918
0.422,0.006869881298285918
0.423,0.006869881298285918
0.424,0.006869881298300129
0.425,0.006869881298300129
0.4260000000000001,0.006869881298300129
0.4270000000000001,0.00686988129831434
0.4280000000000001,0.00686988129831434
0.4290000000000001,0.00686988129831434
0.4300000000000001,0.006869881298328551
0.4310000000000001,0.006869881298328551
0.4320000000000001,0.0068698812983427615
0.4330000000000001,0.0068698812983427615
0.4340000000000001,0.006869881298356972
0.4350000000000001,0.006869881298356972
0.4360000000000001,0.006869881298371183
0.4370000000000001,0.006869881298385394
0.4380000000000001,0.006869881298385394
0.4390000000000001,0.006869881298399605
0.4400000000000001,0.006869881298413816
0.4410000000000001,0.006869881298428027
0.4420000000000001,0.0068698812984422375
0.4430000000000001,0.0068698812984422375
0.4440000000000001,0.006869881298456448
0.4450000000000001,0.006869881298470659
0.4460000000000001,0.00686988129848487
0.4470000000000001,0.006869881298499081
0.4480000000000001,0.006869881298513292
0.4490000000000001,0.006869881298527503
0.4500000000000001,0.0068698812985417135
0.4510000000000001,0.0068698812985417135
0.4520000000000001,0.006869881298555924
0.4530000000000001,0.006869881298555924
0.4540000000000001,0.006869881298570135
0.4550000000000001,0.006869881298570135
0.4560000000000001,0.006869881298584346
0.4570000000000001,0.006869881298584346
0.4580000000000001,0.006869881298598557
0.4590000000000001,0.006869881298598557
0.4600000000000001,0.006869881298612768
0.4610000000000001,0.006869881298626979
0.4620000000000001,0.006869881298626979
0.4630000000000001,0.0068698812986411895
0.4640000000000001,0.0068698812986554
0.4650000000000001,0.0068698812986554
0.4660000000000001,0.006869881298669611
0.4670000000000001,0.006869881298683822
0.4680000000000001,0.006869881298683822
0.4690000000000001,0.006869881298698033
0.4700000000000001,0.006869881298698033
0.4710000000000001,0.006869881298712244
0.4720000000000001,0.006869881298726455
0.4730000000000001,0.0068698812987406654
0.4740000000000001,0.0068698812987406654
0.4750000000000001,0.006869881298754876
0.4760000000000001,0.006869881298769087
0.4770000000000001,0.006869881298769087
0.4780000000000001,0.006869881298783298
0.4790000000000001,0.006869881298797509
0.4800000000000001,0.00686988129881172
0.4810000000000001,0.006869881298825931
0.4820000000000001,0.006869881298825931
0.4830000000000001,0.006869881298840141
0.4840000000000001,0.006869881298854352
0.4850000000000001,0.006869881298868563
0.4860000000000001,0.006869881298882774
0.4870000000000001,0.006869881298882774
0.4880000000000001,0.006869881298896985
0.4890000000000001,0.006869881298911196
0.4900000000000001,0.0068698812989254066
0.4910000000000001,0.006869881298939617
0.4920000000000001,0.006869881298953828
0.4930000000000001,0.006869881298968039
0.4940000000000001,0.00686988129898225
0.4950000000000001,0.006869881298996461
0.4960000000000001,0.006869881299010672
0.4970000000000001,0.0068698812990248825
0.4980000000000001,0.006869881299039093
0.4990000000000001,0.006869881299053304
0.5000000000000001,0.006869881299067515
0.5010000000000001,0.006869881299081726
0.5020000000000001,0.006869881299095937
0.5030000000000001,0.006869881299110148
0.5040000000000001,0.0068698812991243585
0.5050000000000001,0.006869881299138569
0.5060000000000001,0.006869881299166991
0.5070000000000001,0.006869881299181202
0.5080000000000001,0.006869881299195413
0.5090000000000001,0.006869881299209624
0.5100000000000001,0.0068698812992238345
0.5110000000000001,0.006869881299252256
0.5120000000000001,0.006869881299266467
0.5130000000000001,0.006869881299280678
0.5140000000000001,0.006869881299294889
0.5150000000000001,0.0068698812993091
0.5160000000000001,0.006869881299337521
0.5170000000000001,0.006869881299351732
0.5180000000000001,0.006869881299380154
0.5190000000000001,0.006869881299394365
0.5200000000000001,0.006869881299408576
0.5210000000000001,0.0068698812994227865
0.5220000000000001,0.006869881299451208
0.5230000000000001,0.006869881299465419
0.5240000000000001,0.00686988129947963
0.5250000000000001,0.006869881299508052
0.5260000000000001,0.0068698812995222625
0.5270000000000001,0.006869881299550684
0.5280000000000001,0.006869881299564895
0.5290000000000001,0.006869881299593317
0.5300000000000001,0.0068698812996217384
0.5310000000000001,0.006869343845906428
0.5320000000000001,0.006868269044005615
0.5330000000000001,0.006867194382834896
0.5340000000000001,0.00686611986238006
0.5350000000000001,0.006865045482626897
0.5360000000000001,0.006863971243575406
0.5370000000000001,0.006862897145225588
0.5380000000000001,0.006861823187549021
0.5390000000000001,0.006860749370559915
0.5400000000000001,0.006859675694244061
0.5410000000000001,0.006858602158601457
0.5420000000000001,0.006857528763603682
0.5430000000000001,0.006856455509264947
0.5440000000000002,0.006855382395571041
0.5450000000000002,0.006854309422507754
0.5460000000000002,0.0068532365900892955
0.5470000000000002,0.006852163898273034
0.5480000000000002,0.00685109134708739
