Model: , Shkurtov mixing model of optical constants
Timestamp: ,2022-09-20 10:21:11
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Tholin Sciamma-O'Brien 12,CxHyNz,100,100.0,293K,0.3-0.9 micron,"Sciamma-O’Brien, 2012",https://doi.org/10.1016/j.icarus.2011.12.014

wave,Tholin Sciamma-O'Brien 12
0.4,0.019447768656913667
0.401,0.01943280250283408
0.402,0.01943280250283408
0.40299999999999997,0.01943280250283408
0.40399999999999997,0.01943280250283408
0.405,0.01943280250283408
0.406,0.01943280250283408
0.407,0.01943280250283408
0.408,0.01943280250283408
0.409,0.01943280250283408
0.41,0.01943280250283408
0.411,0.01943280250283408
0.412,0.01943280250283763
0.413,0.01943280250283763
0.414,0.01943280250283763
0.415,0.01943280250283763
0.416,0.019432802502844737
0.417,0.019432802502851843
0.418,0.0194328025028625
0.419,0.01943280250288737
0.42,0.01943280250292645
0.421,0.01942282899588932
0.422,0.019373008609548492
0.423,0.01932326680912766
0.424,0.019273603600108657
0.425,0.01922401898784898
0.4260000000000001,0.019174512977627955
0.4270000000000001,0.01912508557466097
0.4280000000000001,0.019075736784152753
0.4290000000000001,0.01902646661139329
0.4300000000000001,0.018977275061896393
0.4310000000000001,0.018962532935884013
0.4320000000000001,0.018962532949139188
0.4330000000000001,0.018962532969418078
0.4340000000000001,0.018962533000376425
0.4350000000000001,0.018962533047549357
0.4360000000000001,0.018962533119292857
0.4370000000000001,0.018962533228187084
0.4380000000000001,0.018962533393157344
0.4390000000000001,0.01896253364260403
0.4400000000000001,0.018962533989871133
0.4410000000000001,0.01896253440349227
0.4420000000000001,0.01896253497270095
0.4430000000000001,0.018962535754884158
0.4440000000000001,0.018962536828187382
0.4450000000000001,0.018962538298843867
0.4460000000000001,0.018962540311108
0.4470000000000001,0.018962543060560222
0.4480000000000001,0.018962546812023362
0.4490000000000001,0.01896255192357188
0.4500000000000001,0.018962558878751423
0.4510000000000001,0.018952743653539272
0.4520000000000001,0.018903679310568577
0.4530000000000001,0.018854696005139004
0.4540000000000001,0.018805794350633676
0.4550000000000001,0.018756975110953533
0.4560000000000001,0.018708239236890023
0.4570000000000001,0.018659587911177056
0.4580000000000001,0.018611022604158478
0.4590000000000001,0.018562545142611242
0.4600000000000001,0.018514157794843555
0.4610000000000001,0.01849969756434433
0.4620000000000001,0.018499760096471363
0.4630000000000001,0.018499833860822434
0.4640000000000001,0.018499920820588045
0.4650000000000001,0.018500023274334865
0.4660000000000001,0.01850014391263599
0.4670000000000001,0.018500285884410772
0.4680000000000001,0.018500452874729234
0.4690000000000001,0.018500649196269592
0.4700000000000001,0.01850086874529211
0.4710000000000001,0.018501073576654647
0.4720000000000001,0.018501305358366693
0.4730000000000001,0.01850156755463317
0.4740000000000001,0.018501864072622
0.4750000000000001,0.018502199320945323
0.4760000000000001,0.01850257827655355
0.4770000000000001,0.018503006561509494
0.4780000000000001,0.018503490531251998
0.4790000000000001,0.018504037376445126
0.4800000000000001,0.018504520595651996
0.4810000000000001,0.018504989957790485
0.4820000000000001,0.018505500711171408
0.4830000000000001,0.018506056473423627
0.4840000000000001,0.018506661189157114
0.4850000000000001,0.018507319162381464
0.4860000000000001,0.018508035092658304
0.4870000000000001,0.01850881411539973
0.4880000000000001,0.01850966184689895
0.4890000000000001,0.018510584434640265
0.4900000000000001,0.01851158861370905
0.4910000000000001,0.01851244938459473
0.4920000000000001,0.018513264227635773
0.4930000000000001,0.01851412848756695
0.4940000000000001,0.01851504520226399
0.4950000000000001,0.0185160176103345
0.4960000000000001,0.0185170491660287
0.4970000000000001,0.018518143555404265
0.4980000000000001,0.018519304713816354
0.4990000000000001,0.01852053684490329
0.5000000000000001,0.018512101404379422
0.5010000000000001,0.01846479889431407
0.5020000000000001,0.018417620819807468
0.5030000000000001,0.018370569308583384
0.5040000000000001,0.01832364659776431
0.5050000000000001,0.018276855040223694
0.5060000000000001,0.018230197111343216
0.5070000000000001,0.01818367541620347
0.5080000000000001,0.01813729269718678
0.5090000000000001,0.01809105184208093
0.5100000000000001,0.018077940648133506
0.5110000000000001,0.01807901395215339
0.5120000000000001,0.01808011894363304
0.5130000000000001,0.018081256563892367
0.5140000000000001,0.01808242778400526
0.5150000000000001,0.018083633605801452
0.5160000000000001,0.01808487506291101
0.5170000000000001,0.018086153221812395
0.5180000000000001,0.018087469182962224
0.5190000000000001,0.01808882408191792
0.5200000000000001,0.01809021909053854
0.5210000000000001,0.018091419312604273
0.5220000000000001,0.018092487690960724
0.5230000000000001,0.018093577914616077
0.5240000000000001,0.0180946904168664
0.5250000000000001,0.01809582563979717
0.5260000000000001,0.018096984034436048
0.5270000000000001,0.018098166060948273
0.5280000000000001,0.018099372188807195
0.5290000000000001,0.018100602896993223
0.5300000000000001,0.018101823082503188
0.5310000000000001,0.018102922077428474
0.5320000000000001,0.018104039670124195
0.5330000000000001,0.01810517615761853
0.5340000000000001,0.018106331841604373
0.5350000000000001,0.018107507028510383
0.5360000000000001,0.01810870202956849
0.5370000000000001,0.018109917160895606
0.5380000000000001,0.018111152743543357
0.5390000000000001,0.01811240910358336
0.5400000000000001,0.01811374751058281
0.5410000000000001,0.01811513634474693
0.5420000000000001,0.018116550421162003
0.5430000000000001,0.018117990182410892
0.5440000000000002,0.018119456078750318
0.5450000000000002,0.018120948568260076
0.5460000000000002,0.018122468116953172
0.5470000000000002,0.01812401519890372
0.5480000000000002,0.018125590296399707
0.5490000000000002,0.01812719390004247
0.5500000000000002,0.018128826508903018
0.5510000000000002,0.018130423685878583
0.5520000000000002,0.018132004270515978
0.5530000000000002,0.018133611153817952
0.5540000000000002,0.01813524475279138
0.5550000000000002,0.0181369054908167
0.5560000000000002,0.018138593797736746
0.5570000000000002,0.018140310109934887
0.5580000000000002,0.01814205487044518
0.5590000000000002,0.018143828529005646
0.5600000000000002,0.01814089159949006
0.5610000000000002,0.018095373914469803
0.5620000000000002,0.01804997568848421
0.5630000000000002,0.018004697752136423
0.5640000000000002,0.01795954095316432
0.5650000000000002,0.01791450615681711
0.5660000000000002,0.017869594246153753
0.5670000000000002,0.017824806122433756
0.5680000000000002,0.017780142705429824
0.5690000000000002,0.017735604933825755
0.5700000000000002,0.017719623848606147
0.5710000000000002,0.017722679018142173
