Model: , Shkurtov mixing model of optical constants
Timestamp: ,2022-09-20 10:18:00
,Compound,Molecular Formula,Grainsize (micron),Concentration (%),Measurement Temperature,Wavelength,"Author,Year",DOI
0,Sodium Chloride-Water Solution,2wt% NaCl + H2O,100,100.0,293K,0.3–1.0 micron.,"Wang, 2017",https://doi.org/10.1364/AO.56.007662

wave,Sodium Chloride-Water Solution
0.4,0.6813977765299375
0.401,0.6817485504473473
0.402,0.6820982180054191
0.40299999999999997,0.682446788303716
0.40399999999999997,0.6827942765091315
0.405,0.6831406764529391
0.406,0.6834859940545137
0.407,0.6838302351872925
0.408,0.6841734056792459
0.409,0.6845155113133301
0.41,0.6848565578279455
0.411,0.6851965509173735
0.412,0.6855354962322131
0.413,0.6858733993798284
0.414,0.6862102659247644
0.415,0.6865461013891812
0.416,0.6868809112532658
0.417,0.6872147009556502
0.418,0.6875474758938128
0.419,0.6878792414244916
0.42,0.6882100028640785
0.421,0.6886045352429115
0.422,0.6890254237706408
0.423,0.6894452582982359
0.424,0.6898640443721946
0.425,0.6902817874991563
0.4260000000000001,0.6906984931462643
0.4270000000000001,0.6911141667415585
0.4280000000000001,0.6915288136743218
0.4290000000000001,0.6919424392954776
0.4300000000000001,0.6923550489179253
0.4310000000000001,0.6927666478169134
0.4320000000000001,0.6931772412303929
0.4330000000000001,0.6935868343593508
0.4340000000000001,0.6939954323681916
0.4350000000000001,0.6944030403850351
0.4360000000000001,0.6948096635020895
0.4370000000000001,0.6952153067759683
0.4380000000000001,0.6956199752280248
0.4390000000000001,0.696023673844687
0.4400000000000001,0.6964264075777598
0.4410000000000001,0.6968290297024762
0.4420000000000001,0.6972310631272931
0.4430000000000001,0.6976321496098297
0.4440000000000001,0.6980322939614592
0.4450000000000001,0.6984315009604902
0.4460000000000001,0.6987633111297383
0.4470000000000001,0.6990657616225759
0.4480000000000001,0.6993673507825614
0.4490000000000001,0.6996680828857968
0.4500000000000001,0.6999679621781731
0.4510000000000001,0.7002669928756367
0.4520000000000001,0.7005651791644758
0.4530000000000001,0.7008625252015852
0.4540000000000001,0.7011590351147367
0.4550000000000001,0.7014547130028325
0.4560000000000001,0.7017495629361887
0.4570000000000001,0.7020435889567693
0.4580000000000001,0.7023367950784568
0.4590000000000001,0.7026291852873101
0.4600000000000001,0.7029207635417927
0.4610000000000001,0.7032115337730462
0.4620000000000001,0.7035014998851099
0.4630000000000001,0.7037906657551907
0.4640000000000001,0.7040791127025265
0.4650000000000001,0.7043674649719263
0.4660000000000001,0.7046550296931438
0.4670000000000001,0.7049418106385853
0.4680000000000001,0.7052278115549799
0.4690000000000001,0.7055130361636195
0.4700000000000001,0.7057995902227912
0.4710000000000001,0.7060858982415819
0.4720000000000001,0.7063714380700592
0.4730000000000001,0.7066562133405188
0.4740000000000001,0.7069402276608516
0.4750000000000001,0.7072234846147601
0.4760000000000001,0.7075059877619609
0.4770000000000001,0.7077877406383908
0.4780000000000001,0.708068746756422
0.4790000000000001,0.7083490096050549
0.4800000000000001,0.7086285326501309
0.4810000000000001,0.7089073193345243
0.4820000000000001,0.709185373078341
0.4830000000000001,0.7094616188623841
0.4840000000000001,0.7097370165342086
0.4850000000000001,0.710011689159239
0.4860000000000001,0.7102856400684046
0.4870000000000001,0.7105588725708254
0.4880000000000001,0.7108313899539895
0.4890000000000001,0.71110319548395
0.4900000000000001,0.7113742924054935
0.4910000000000001,0.7116446839423184
0.4920000000000001,0.7119511516217498
0.4930000000000001,0.7122568895162773
0.4940000000000001,0.7125619009176412
0.4950000000000001,0.7128661890966417
0.4960000000000001,0.7131697573033113
0.4970000000000001,0.7134726087670819
0.4980000000000001,0.7137747466969682
0.4990000000000001,0.7140761742817123
0.5000000000000001,0.714376894689978
0.5010000000000001,0.7146769110704972
0.5020000000000001,0.71497786896239
0.5030000000000001,0.7152788345788776
0.5040000000000001,0.7155791074062827
0.5050000000000001,0.7158786905150967
0.5060000000000001,0.716177586956688
0.5070000000000001,0.7164757997634299
0.5080000000000001,0.7167733319488783
0.5090000000000001,0.7170701865079114
0.5100000000000001,0.7173657921646805
0.5110000000000001,0.7176604804505381
0.5120000000000001,0.7179545004867396
0.5130000000000001,0.7182478551923565
0.5140000000000001,0.7185405474685436
0.5150000000000001,0.718832580198671
0.5160000000000001,0.7191239562484708
0.5170000000000001,0.7194146784661726
0.5180000000000001,0.7197047496826449
0.5190000000000001,0.7199941727115411
0.5200000000000001,0.7202829503494194
0.5210000000000001,0.7205708120676607
0.5220000000000001,0.7208573963208924
0.5230000000000001,0.7211433436290355
0.5240000000000001,0.7214286567206702
0.5250000000000001,0.7217133383079508
0.5260000000000001,0.7219973910867638
0.5270000000000001,0.7222808177368247
0.5280000000000001,0.7225607195573092
0.5290000000000001,0.7228139001550684
0.5300000000000001,0.723066484094983
0.5310000000000001,0.7233184739025214
0.5320000000000001,0.7235698720879822
0.5330000000000001,0.7238206811466157
0.5340000000000001,0.7240709035587339
0.5350000000000001,0.7243205417898357
0.5360000000000001,0.7245695982907043
0.5370000000000001,0.7248180754975424
0.5380000000000001,0.725065975832074
0.5390000000000001,0.7253133017016498
0.5400000000000001,0.7255600554993702
0.5410000000000001,0.7258062396041912
0.5420000000000001,0.7260518563810323
0.5430000000000001,0.7262969081808746
0.5440000000000002,0.726541896271619
0.5450000000000002,0.7267864488968414
0.5460000000000002,0.7269889548780193
0.5470000000000002,0.7271731856377655
0.5480000000000002,0.7273569349682264
0.5490000000000002,0.7275402049153308
0.5500000000000002,0.727722997512817
0.5510000000000002,0.7279053147823342
0.5520000000000002,0.7280871587335325
0.5530000000000002,0.728268531364147
0.5540000000000002,0.7284494346600993
0.5550000000000002,0.7286298705955829
0.5560000000000002,0.728809841133151
0.5570000000000002,0.7289893482238059
0.5580000000000002,0.7291683938070872
0.5590000000000002,0.7293469798111658
0.5600000000000002,0.7295251081529087
0.5610000000000002,0.7297027807379906
0.5620000000000002,0.7298799994609597
0.5630000000000002,0.7300562523158455
0.5640000000000002,0.7302315405127695
0.5650000000000002,0.7304063795808267
0.5660000000000002,0.7305807713694004
0.5670000000000002,0.7307547177171615
0.5680000000000002,0.7308448141697381
0.5690000000000002,0.7309346339702623
0.5700000000000002,0.7310241783694085
0.5710000000000002,0.731113448610137
0.5720000000000002,0.7312024459277655
0.5730000000000002,0.7312911715500239
0.5740000000000002,0.7313796266971118
0.5750000000000002,0.7314678125817639
0.5760000000000002,0.7315557304092948
0.5770000000000002,0.7316433813776705
0.5780000000000002,0.7317307666775514
0.5790000000000002,0.7318178874923622
0.5800000000000002,0.7319047449983385
0.5810000000000002,0.7319913403645807
0.5820000000000002,0.7320777089223494
0.5830000000000002,0.7321638975320671
0.5840000000000002,0.7322498276925625
0.5850000000000002,0.7323355005451675
0.5860000000000002,0.7324209172243452
0.5870000000000002,0.732506078857748
0.5880000000000002,0.732648077222106
0.5890000000000002,0.7328753013553719
0.5900000000000002,0.7331020494957965
0.5910000000000002,0.7333283234582895
0.5920000000000002,0.7335541250479474
0.5930000000000002,0.7337794560601162
0.5940000000000002,0.734004318280485
0.5950000000000002,0.7342287134851281
0.5960000000000002,0.7344526434405881
0.5970000000000002,0.7346761099039355
0.5980000000000002,0.7348991146228357
0.5990000000000002,0.7351216593356168
0.6000000000000002,0.7353437457713262
0.6010000000000002,0.7355653756498094
0.6020000000000002,0.7357865506817531
0.6030000000000002,0.735965644929925
0.6040000000000002,0.7359734479736323
0.6050000000000002,0.7359812236896803
0.6060000000000002,0.7359889722105007
0.6070000000000002,0.7359966936676531
0.6080000000000002,0.736004388191857
0.6090000000000002,0.7360120559129659
0.6100000000000002,0.736019696960011
0.6110000000000002,0.7360273114611826
0.6120000000000002,0.7360348995438379
0.6130000000000002,0.7360424613345308
0.6140000000000002,0.7360499969589994
0.6150000000000002,0.7360575065421601
0.6160000000000002,0.7360649902081404
0.6170000000000002,0.7360724480802774
0.6180000000000002,0.7360798802811152
0.6190000000000002,0.7360872869324185
0.6200000000000002,0.7360946681551742
0.6210000000000002,0.7361020240696033
0.6220000000000002,0.7362016181438233
0.6230000000000002,0.7363239984642672
0.6240000000000002,0.7364460527621752
0.6250000000000002,0.7365677565248268
0.6260000000000002,0.7366891559439452
0.6270000000000002,0.7368102522062745
0.6280000000000002,0.7369310464921932
0.6290000000000002,0.7370515399757539
0.6300000000000002,0.7371717338247147
0.6310000000000002,0.7372916292006149
0.6320000000000002,0.7374112272587762
0.6330000000000002,0.7375305291483818
0.6340000000000002,0.7376495360124882
0.6350000000000002,0.7377682489880912
0.6360000000000002,0.7378866692061532
0.6370000000000002,0.7380047977916453
0.6380000000000002,0.7381226358635884
0.6390000000000002,0.7382401845351005
0.6400000000000002,0.7382953398181279
0.6410000000000002,0.7382573384442666
